RegionSegment,RegionSegmentEndUse,Region,Segment,End Use,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041
SCLMultifamily - Mid Rise,SCLMultifamily - Mid RiseComputer - Laptop,SCL,Multifamily - Mid Rise,Computer - Laptop,Market Average Laptop Computer,Market Average Laptop Computer,Market Average Laptop Computer,Market Average Laptop Computer,Market Average Laptop Computer,Market Average Laptop Computer,Market Average Laptop Computer,Market Average Laptop Computer,Market Average Laptop Computer,Market Average Laptop Computer,Market Average Laptop Computer,Market Average Laptop Computer,Market Average Laptop Computer,Market Average Laptop Computer,Market Average Laptop Computer,Market Average Laptop Computer,Market Average Laptop Computer,Market Average Laptop Computer,Market Average Laptop Computer,Market Average Laptop Computer
SCLMultifamily - High Rise,SCLMultifamily - High RiseComputer - Laptop,SCL,Multifamily - High Rise,Computer - Laptop,Market Average Laptop Computer,Market Average Laptop Computer,Market Average Laptop Computer,Market Average Laptop Computer,Market Average Laptop Computer,Market Average Laptop Computer,Market Average Laptop Computer,Market Average Laptop Computer,Market Average Laptop Computer,Market Average Laptop Computer,Market Average Laptop Computer,Market Average Laptop Computer,Market Average Laptop Computer,Market Average Laptop Computer,Market Average Laptop Computer,Market Average Laptop Computer,Market Average Laptop Computer,Market Average Laptop Computer,Market Average Laptop Computer,Market Average Laptop Computer
SCLSingle Family,SCLSingle FamilyCooking Oven,SCL,Single Family,Cooking Oven,Federal Standard 2012 Cooking Oven,Federal Standard 2012 Cooking Oven,Federal Standard 2012 Cooking Oven,Federal Standard 2012 Cooking Oven,Federal Standard 2012 Cooking Oven,Federal Standard 2012 Cooking Oven,Federal Standard 2012 Cooking Oven,Federal Standard 2012 Cooking Oven,Federal Standard 2012 Cooking Oven,Federal Standard 2012 Cooking Oven,Federal Standard 2012 Cooking Oven,Federal Standard 2012 Cooking Oven,Federal Standard 2012 Cooking Oven,Federal Standard 2012 Cooking Oven,Federal Standard 2012 Cooking Oven,Federal Standard 2012 Cooking Oven,Federal Standard 2012 Cooking Oven,Federal Standard 2012 Cooking Oven,Federal Standard 2012 Cooking Oven,Federal Standard 2012 Cooking Oven
SCLMultifamily - Low Rise,SCLMultifamily - Low RiseCooking Oven,SCL,Multifamily - Low Rise,Cooking Oven,Federal Standard 2012 Cooking Oven,Federal Standard 2012 Cooking Oven,Federal Standard 2012 Cooking Oven,Federal Standard 2012 Cooking Oven,Federal Standard 2012 Cooking Oven,Federal Standard 2012 Cooking Oven,Federal Standard 2012 Cooking Oven,Federal Standard 2012 Cooking Oven,Federal Standard 2012 Cooking Oven,Federal Standard 2012 Cooking Oven,Federal Standard 2012 Cooking Oven,Federal Standard 2012 Cooking Oven,Federal Standard 2012 Cooking Oven,Federal Standard 2012 Cooking Oven,Federal Standard 2012 Cooking Oven,Federal Standard 2012 Cooking Oven,Federal Standard 2012 Cooking Oven,Federal Standard 2012 Cooking Oven,Federal Standard 2012 Cooking Oven,Federal Standard 2012 Cooking Oven
SCLMultifamily - Mid Rise,SCLMultifamily - Mid RiseCooking Oven,SCL,Multifamily - Mid Rise,Cooking Oven,Federal Standard 2012 Cooking Oven,Federal Standard 2012 Cooking Oven,Federal Standard 2012 Cooking Oven,Federal Standard 2012 Cooking Oven,Federal Standard 2012 Cooking Oven,Federal Standard 2012 Cooking Oven,Federal Standard 2012 Cooking Oven,Federal Standard 2012 Cooking Oven,Federal Standard 2012 Cooking Oven,Federal Standard 2012 Cooking Oven,Federal Standard 2012 Cooking Oven,Federal Standard 2012 Cooking Oven,Federal Standard 2012 Cooking Oven,Federal Standard 2012 Cooking Oven,Federal Standard 2012 Cooking Oven,Federal Standard 2012 Cooking Oven,Federal Standard 2012 Cooking Oven,Federal Standard 2012 Cooking Oven,Federal Standard 2012 Cooking Oven,Federal Standard 2012 Cooking Oven
SCLMultifamily - High Rise,SCLMultifamily - High RiseCooking Oven,SCL,Multifamily - High Rise,Cooking Oven,Federal Standard 2012 Cooking Oven,Federal Standard 2012 Cooking Oven,Federal Standard 2012 Cooking Oven,Federal Standard 2012 Cooking Oven,Federal Standard 2012 Cooking Oven,Federal Standard 2012 Cooking Oven,Federal Standard 2012 Cooking Oven,Federal Standard 2012 Cooking Oven,Federal Standard 2012 Cooking Oven,Federal Standard 2012 Cooking Oven,Federal Standard 2012 Cooking Oven,Federal Standard 2012 Cooking Oven,Federal Standard 2012 Cooking Oven,Federal Standard 2012 Cooking Oven,Federal Standard 2012 Cooking Oven,Federal Standard 2012 Cooking Oven,Federal Standard 2012 Cooking Oven,Federal Standard 2012 Cooking Oven,Federal Standard 2012 Cooking Oven,Federal Standard 2012 Cooking Oven
SCLSingle Family,SCLSingle FamilyCooking Range,SCL,Single Family,Cooking Range,Federal Standard 2012 Cooking Range,Federal Standard 2012 Cooking Range,Federal Standard 2012 Cooking Range,Federal Standard 2012 Cooking Range,Federal Standard 2012 Cooking Range,Federal Standard 2012 Cooking Range,Federal Standard 2012 Cooking Range,Federal Standard 2012 Cooking Range,Federal Standard 2012 Cooking Range,Federal Standard 2012 Cooking Range,Federal Standard 2012 Cooking Range,Federal Standard 2012 Cooking Range,Federal Standard 2012 Cooking Range,Federal Standard 2012 Cooking Range,Federal Standard 2012 Cooking Range,Federal Standard 2012 Cooking Range,Federal Standard 2012 Cooking Range,Federal Standard 2012 Cooking Range,Federal Standard 2012 Cooking Range,Federal Standard 2012 Cooking Range
SCLMultifamily - Low Rise,SCLMultifamily - Low RiseCooking Range,SCL,Multifamily - Low Rise,Cooking Range,Federal Standard 2012 Cooking Range,Federal Standard 2012 Cooking Range,Federal Standard 2012 Cooking Range,Federal Standard 2012 Cooking Range,Federal Standard 2012 Cooking Range,Federal Standard 2012 Cooking Range,Federal Standard 2012 Cooking Range,Federal Standard 2012 Cooking Range,Federal Standard 2012 Cooking Range,Federal Standard 2012 Cooking Range,Federal Standard 2012 Cooking Range,Federal Standard 2012 Cooking Range,Federal Standard 2012 Cooking Range,Federal Standard 2012 Cooking Range,Federal Standard 2012 Cooking Range,Federal Standard 2012 Cooking Range,Federal Standard 2012 Cooking Range,Federal Standard 2012 Cooking Range,Federal Standard 2012 Cooking Range,Federal Standard 2012 Cooking Range
SCLMultifamily - Mid Rise,SCLMultifamily - Mid RiseCooking Range,SCL,Multifamily - Mid Rise,Cooking Range,Federal Standard 2012 Cooking Range,Federal Standard 2012 Cooking Range,Federal Standard 2012 Cooking Range,Federal Standard 2012 Cooking Range,Federal Standard 2012 Cooking Range,Federal Standard 2012 Cooking Range,Federal Standard 2012 Cooking Range,Federal Standard 2012 Cooking Range,Federal Standard 2012 Cooking Range,Federal Standard 2012 Cooking Range,Federal Standard 2012 Cooking Range,Federal Standard 2012 Cooking Range,Federal Standard 2012 Cooking Range,Federal Standard 2012 Cooking Range,Federal Standard 2012 Cooking Range,Federal Standard 2012 Cooking Range,Federal Standard 2012 Cooking Range,Federal Standard 2012 Cooking Range,Federal Standard 2012 Cooking Range,Federal Standard 2012 Cooking Range
SCLMultifamily - High Rise,SCLMultifamily - High RiseCooking Range,SCL,Multifamily - High Rise,Cooking Range,Federal Standard 2012 Cooking Range,Federal Standard 2012 Cooking Range,Federal Standard 2012 Cooking Range,Federal Standard 2012 Cooking Range,Federal Standard 2012 Cooking Range,Federal Standard 2012 Cooking Range,Federal Standard 2012 Cooking Range,Federal Standard 2012 Cooking Range,Federal Standard 2012 Cooking Range,Federal Standard 2012 Cooking Range,Federal Standard 2012 Cooking Range,Federal Standard 2012 Cooking Range,Federal Standard 2012 Cooking Range,Federal Standard 2012 Cooking Range,Federal Standard 2012 Cooking Range,Federal Standard 2012 Cooking Range,Federal Standard 2012 Cooking Range,Federal Standard 2012 Cooking Range,Federal Standard 2012 Cooking Range,Federal Standard 2012 Cooking Range
