RegionSegment,RegionSegmentEndUse,Region,Segment,End Use,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041
SCLSingle Family,SCLSingle FamilyLighting Interior Specialty,SCL,Single Family,Lighting Interior Specialty,LED - Specialty,LED - Specialty,LED - Specialty,LED - Specialty,LED - Specialty,LED - Specialty,LED - Specialty,LED - Specialty,LED - Specialty,LED - Specialty,LED - Specialty,LED - Specialty,LED - Specialty,LED - Specialty,LED - Specialty,LED - Specialty,LED - Specialty,LED - Specialty,LED - Specialty,LED - Specialty
SCLMultifamily - Low Rise,SCLMultifamily - Low RiseLighting Interior Specialty,SCL,Multifamily - Low Rise,Lighting Interior Specialty,LED - Specialty,LED - Specialty,LED - Specialty,LED - Specialty,LED - Specialty,LED - Specialty,LED - Specialty,LED - Specialty,LED - Specialty,LED - Specialty,LED - Specialty,LED - Specialty,LED - Specialty,LED - Specialty,LED - Specialty,LED - Specialty,LED - Specialty,LED - Specialty,LED - Specialty,LED - Specialty
SCLMultifamily - Mid Rise,SCLMultifamily - Mid RiseLighting Interior Specialty,SCL,Multifamily - Mid Rise,Lighting Interior Specialty,LED - Specialty,LED - Specialty,LED - Specialty,LED - Specialty,LED - Specialty,LED - Specialty,LED - Specialty,LED - Specialty,LED - Specialty,LED - Specialty,LED - Specialty,LED - Specialty,LED - Specialty,LED - Specialty,LED - Specialty,LED - Specialty,LED - Specialty,LED - Specialty,LED - Specialty,LED - Specialty
SCLMultifamily - High Rise,SCLMultifamily - High RiseLighting Interior Specialty,SCL,Multifamily - High Rise,Lighting Interior Specialty,LED - Specialty,LED - Specialty,LED - Specialty,LED - Specialty,LED - Specialty,LED - Specialty,LED - Specialty,LED - Specialty,LED - Specialty,LED - Specialty,LED - Specialty,LED - Specialty,LED - Specialty,LED - Specialty,LED - Specialty,LED - Specialty,LED - Specialty,LED - Specialty,LED - Specialty,LED - Specialty
SCLSingle Family,SCLSingle FamilyLighting Interior Standard,SCL,Single Family,Lighting Interior Standard,LED,LED,LED,LED,LED,LED,LED,LED,LED,LED,LED,LED,LED,LED,LED,LED,LED,LED,LED,LED
SCLMultifamily - Low Rise,SCLMultifamily - Low RiseLighting Interior Standard,SCL,Multifamily - Low Rise,Lighting Interior Standard,LED,LED,LED,LED,LED,LED,LED,LED,LED,LED,LED,LED,LED,LED,LED,LED,LED,LED,LED,LED
SCLMultifamily - Mid Rise,SCLMultifamily - Mid RiseLighting Interior Standard,SCL,Multifamily - Mid Rise,Lighting Interior Standard,LED,LED,LED,LED,LED,LED,LED,LED,LED,LED,LED,LED,LED,LED,LED,LED,LED,LED,LED,LED
SCLMultifamily - High Rise,SCLMultifamily - High RiseLighting Interior Standard,SCL,Multifamily - High Rise,Lighting Interior Standard,LED,LED,LED,LED,LED,LED,LED,LED,LED,LED,LED,LED,LED,LED,LED,LED,LED,LED,LED,LED
SCLSingle Family,SCLSingle FamilyMicrowave,SCL,Single Family,Microwave,Federal Standard 2016 Microwave,Federal Standard 2016 Microwave,Federal Standard 2016 Microwave,Federal Standard 2016 Microwave,Federal Standard 2016 Microwave,Federal Standard 2016 Microwave,Federal Standard 2016 Microwave,Federal Standard 2016 Microwave,Federal Standard 2016 Microwave,Federal Standard 2016 Microwave,Federal Standard 2016 Microwave,Federal Standard 2016 Microwave,Federal Standard 2016 Microwave,Federal Standard 2016 Microwave,Federal Standard 2016 Microwave,Federal Standard 2016 Microwave,Federal Standard 2016 Microwave,Federal Standard 2016 Microwave,Federal Standard 2016 Microwave,Federal Standard 2016 Microwave
SCLMultifamily - Low Rise,SCLMultifamily - Low RiseMicrowave,SCL,Multifamily - Low Rise,Microwave,Federal Standard 2016 Microwave,Federal Standard 2016 Microwave,Federal Standard 2016 Microwave,Federal Standard 2016 Microwave,Federal Standard 2016 Microwave,Federal Standard 2016 Microwave,Federal Standard 2016 Microwave,Federal Standard 2016 Microwave,Federal Standard 2016 Microwave,Federal Standard 2016 Microwave,Federal Standard 2016 Microwave,Federal Standard 2016 Microwave,Federal Standard 2016 Microwave,Federal Standard 2016 Microwave,Federal Standard 2016 Microwave,Federal Standard 2016 Microwave,Federal Standard 2016 Microwave,Federal Standard 2016 Microwave,Federal Standard 2016 Microwave,Federal Standard 2016 Microwave
SCLMultifamily - Mid Rise,SCLMultifamily - Mid RiseMicrowave,SCL,Multifamily - Mid Rise,Microwave,Federal Standard 2016 Microwave,Federal Standard 2016 Microwave,Federal Standard 2016 Microwave,Federal Standard 2016 Microwave,Federal Standard 2016 Microwave,Federal Standard 2016 Microwave,Federal Standard 2016 Microwave,Federal Standard 2016 Microwave,Federal Standard 2016 Microwave,Federal Standard 2016 Microwave,Federal Standard 2016 Microwave,Federal Standard 2016 Microwave,Federal Standard 2016 Microwave,Federal Standard 2016 Microwave,Federal Standard 2016 Microwave,Federal Standard 2016 Microwave,Federal Standard 2016 Microwave,Federal Standard 2016 Microwave,Federal Standard 2016 Microwave,Federal Standard 2016 Microwave
SCLMultifamily - High Rise,SCLMultifamily - High RiseMicrowave,SCL,Multifamily - High Rise,Microwave,Federal Standard 2016 Microwave,Federal Standard 2016 Microwave,Federal Standard 2016 Microwave,Federal Standard 2016 Microwave,Federal Standard 2016 Microwave,Federal Standard 2016 Microwave,Federal Standard 2016 Microwave,Federal Standard 2016 Microwave,Federal Standard 2016 Microwave,Federal Standard 2016 Microwave,Federal Standard 2016 Microwave,Federal Standard 2016 Microwave,Federal Standard 2016 Microwave,Federal Standard 2016 Microwave,Federal Standard 2016 Microwave,Federal Standard 2016 Microwave,Federal Standard 2016 Microwave,Federal Standard 2016 Microwave,Federal Standard 2016 Microwave,Federal Standard 2016 Microwave
SCLSingle Family,SCLSingle FamilyMonitor,SCL,Single Family,Monitor,Standard Monitor,Standard Monitor,Standard Monitor,Standard Monitor,Standard Monitor,Standard Monitor,Standard Monitor,Standard Monitor,Standard Monitor,Standard Monitor,Standard Monitor,Standard Monitor,Standard Monitor,Standard Monitor,Standard Monitor,Standard Monitor,Standard Monitor,Standard Monitor,Standard Monitor,Standard Monitor
SCLMultifamily - Low Rise,SCLMultifamily - Low RiseMonitor,SCL,Multifamily - Low Rise,Monitor,Standard Monitor,Standard Monitor,Standard Monitor,Standard Monitor,Standard Monitor,Standard Monitor,Standard Monitor,Standard Monitor,Standard Monitor,Standard Monitor,Standard Monitor,Standard Monitor,Standard Monitor,Standard Monitor,Standard Monitor,Standard Monitor,Standard Monitor,Standard Monitor,Standard Monitor,Standard Monitor
SCLMultifamily - Mid Rise,SCLMultifamily - Mid RiseMonitor,SCL,Multifamily - Mid Rise,Monitor,Standard Monitor,Standard Monitor,Standard Monitor,Standard Monitor,Standard Monitor,Standard Monitor,Standard Monitor,Standard Monitor,Standard Monitor,Standard Monitor,Standard Monitor,Standard Monitor,Standard Monitor,Standard Monitor,Standard Monitor,Standard Monitor,Standard Monitor,Standard Monitor,Standard Monitor,Standard Monitor
SCLMultifamily - High Rise,SCLMultifamily - High RiseMonitor,SCL,Multifamily - High Rise,Monitor,Standard Monitor,Standard Monitor,Standard Monitor,Standard Monitor,Standard Monitor,Standard Monitor,Standard Monitor,Standard Monitor,Standard Monitor,Standard Monitor,Standard Monitor,Standard Monitor,Standard Monitor,Standard Monitor,Standard Monitor,Standard Monitor,Standard Monitor,Standard Monitor,Standard Monitor,Standard Monitor
SCLSingle Family,SCLSingle FamilyMultifunction Device,SCL,Single Family,Multifunction Device,Standard Multifunction Device (All-in-one),Standard Multifunction Device (All-in-one),Standard Multifunction Device (All-in-one),Standard Multifunction Device (All-in-one),Standard Multifunction Device (All-in-one),Standard Multifunction Device (All-in-one),Standard Multifunction Device (All-in-one),Standard Multifunction Device (All-in-one),Standard Multifunction Device (All-in-one),Standard Multifunction Device (All-in-one),Standard Multifunction Device (All-in-one),Standard Multifunction Device (All-in-one),Standard Multifunction Device (All-in-one),Standard Multifunction Device (All-in-one),Standard Multifunction Device (All-in-one),Standard Multifunction Device (All-in-one),Standard Multifunction Device (All-in-one),Standard Multifunction Device (All-in-one),Standard Multifunction Device (All-in-one),Standard Multifunction Device (All-in-one)
SCLMultifamily - Low Rise,SCLMultifamily - Low RiseMultifunction Device,SCL,Multifamily - Low Rise,Multifunction Device,Standard Multifunction Device (All-in-one),Standard Multifunction Device (All-in-one),Standard Multifunction Device (All-in-one),Standard Multifunction Device (All-in-one),Standard Multifunction Device (All-in-one),Standard Multifunction Device (All-in-one),Standard Multifunction Device (All-in-one),Standard Multifunction Device (All-in-one),Standard Multifunction Device (All-in-one),Standard Multifunction Device (All-in-one),Standard Multifunction Device (All-in-one),Standard Multifunction Device (All-in-one),Standard Multifunction Device (All-in-one),Standard Multifunction Device (All-in-one),Standard Multifunction Device (All-in-one),Standard Multifunction Device (All-in-one),Standard Multifunction Device (All-in-one),Standard Multifunction Device (All-in-one),Standard Multifunction Device (All-in-one),Standard Multifunction Device (All-in-one)
SCLMultifamily - Mid Rise,SCLMultifamily - Mid RiseMultifunction Device,SCL,Multifamily - Mid Rise,Multifunction Device,Standard Multifunction Device (All-in-one),Standard Multifunction Device (All-in-one),Standard Multifunction Device (All-in-one),Standard Multifunction Device (All-in-one),Standard Multifunction Device (All-in-one),Standard Multifunction Device (All-in-one),Standard Multifunction Device (All-in-one),Standard Multifunction Device (All-in-one),Standard Multifunction Device (All-in-one),Standard Multifunction Device (All-in-one),Standard Multifunction Device (All-in-one),Standard Multifunction Device (All-in-one),Standard Multifunction Device (All-in-one),Standard Multifunction Device (All-in-one),Standard Multifunction Device (All-in-one),Standard Multifunction Device (All-in-one),Standard Multifunction Device (All-in-one),Standard Multifunction Device (All-in-one),Standard Multifunction Device (All-in-one),Standard Multifunction Device (All-in-one)
SCLMultifamily - High Rise,SCLMultifamily - High RiseMultifunction Device,SCL,Multifamily - High Rise,Multifunction Device,Standard Multifunction Device (All-in-one),Standard Multifunction Device (All-in-one),Standard Multifunction Device (All-in-one),Standard Multifunction Device (All-in-one),Standard Multifunction Device (All-in-one),Standard Multifunction Device (All-in-one),Standard Multifunction Device (All-in-one),Standard Multifunction Device (All-in-one),Standard Multifunction Device (All-in-one),Standard Multifunction Device (All-in-one),Standard Multifunction Device (All-in-one),Standard Multifunction Device (All-in-one),Standard Multifunction Device (All-in-one),Standard Multifunction Device (All-in-one),Standard Multifunction Device (All-in-one),Standard Multifunction Device (All-in-one),Standard Multifunction Device (All-in-one),Standard Multifunction Device (All-in-one),Standard Multifunction Device (All-in-one),Standard Multifunction Device (All-in-one)
SCLSingle Family,SCLSingle FamilyOther,SCL,Single Family,Other,Other Equipment End Use,Other Equipment End Use,Other Equipment End Use,Other Equipment End Use,Other Equipment End Use,Other Equipment End Use,Other Equipment End Use,Other Equipment End Use,Other Equipment End Use,Other Equipment End Use,Other Equipment End Use,Other Equipment End Use,Other Equipment End Use,Other Equipment End Use,Other Equipment End Use,Other Equipment End Use,Other Equipment End Use,Other Equipment End Use,Other Equipment End Use,Other Equipment End Use
SCLMultifamily - Low Rise,SCLMultifamily - Low RiseOther,SCL,Multifamily - Low Rise,Other,Other Equipment End Use,Other Equipment End Use,Other Equipment End Use,Other Equipment End Use,Other Equipment End Use,Other Equipment End Use,Other Equipment End Use,Other Equipment End Use,Other Equipment End Use,Other Equipment End Use,Other Equipment End Use,Other Equipment End Use,Other Equipment End Use,Other Equipment End Use,Other Equipment End Use,Other Equipment End Use,Other Equipment End Use,Other Equipment End Use,Other Equipment End Use,Other Equipment End Use
SCLMultifamily - Mid Rise,SCLMultifamily - Mid RiseOther,SCL,Multifamily - Mid Rise,Other,Other Equipment End Use,Other Equipment End Use,Other Equipment End Use,Other Equipment End Use,Other Equipment End Use,Other Equipment End Use,Other Equipment End Use,Other Equipment End Use,Other Equipment End Use,Other Equipment End Use,Other Equipment End Use,Other Equipment End Use,Other Equipment End Use,Other Equipment End Use,Other Equipment End Use,Other Equipment End Use,Other Equipment End Use,Other Equipment End Use,Other Equipment End Use,Other Equipment End Use
SCLMultifamily - High Rise,SCLMultifamily - High RiseOther,SCL,Multifamily - High Rise,Other,Other Equipment End Use,Other Equipment End Use,Other Equipment End Use,Other Equipment End Use,Other Equipment End Use,Other Equipment End Use,Other Equipment End Use,Other Equipment End Use,Other Equipment End Use,Other Equipment End Use,Other Equipment End Use,Other Equipment End Use,Other Equipment End Use,Other Equipment End Use,Other Equipment End Use,Other Equipment End Use,Other Equipment End Use,Other Equipment End Use,Other Equipment End Use,Other Equipment End Use
SCLSingle Family,SCLSingle FamilyPlug Load Other,SCL,Single Family,Plug Load Other,Plug Load Other Equipment End Use,Plug Load Other Equipment End Use,Plug Load Other Equipment End Use,Plug Load Other Equipment End Use,Plug Load Other Equipment End Use,Plug Load Other Equipment End Use,Plug Load Other Equipment End Use,Plug Load Other Equipment End Use,Plug Load Other Equipment End Use,Plug Load Other Equipment End Use,Plug Load Other Equipment End Use,Plug Load Other Equipment End Use,Plug Load Other Equipment End Use,Plug Load Other Equipment End Use,Plug Load Other Equipment End Use,Plug Load Other Equipment End Use,Plug Load Other Equipment End Use,Plug Load Other Equipment End Use,Plug Load Other Equipment End Use,Plug Load Other Equipment End Use
SCLMultifamily - Low Rise,SCLMultifamily - Low RisePlug Load Other,SCL,Multifamily - Low Rise,Plug Load Other,Plug Load Other Equipment End Use,Plug Load Other Equipment End Use,Plug Load Other Equipment End Use,Plug Load Other Equipment End Use,Plug Load Other Equipment End Use,Plug Load Other Equipment End Use,Plug Load Other Equipment End Use,Plug Load Other Equipment End Use,Plug Load Other Equipment End Use,Plug Load Other Equipment End Use,Plug Load Other Equipment End Use,Plug Load Other Equipment End Use,Plug Load Other Equipment End Use,Plug Load Other Equipment End Use,Plug Load Other Equipment End Use,Plug Load Other Equipment End Use,Plug Load Other Equipment End Use,Plug Load Other Equipment End Use,Plug Load Other Equipment End Use,Plug Load Other Equipment End Use
SCLMultifamily - Mid Rise,SCLMultifamily - Mid RisePlug Load Other,SCL,Multifamily - Mid Rise,Plug Load Other,Plug Load Other Equipment End Use,Plug Load Other Equipment End Use,Plug Load Other Equipment End Use,Plug Load Other Equipment End Use,Plug Load Other Equipment End Use,Plug Load Other Equipment End Use,Plug Load Other Equipment End Use,Plug Load Other Equipment End Use,Plug Load Other Equipment End Use,Plug Load Other Equipment End Use,Plug Load Other Equipment End Use,Plug Load Other Equipment End Use,Plug Load Other Equipment End Use,Plug Load Other Equipment End Use,Plug Load Other Equipment End Use,Plug Load Other Equipment End Use,Plug Load Other Equipment End Use,Plug Load Other Equipment End Use,Plug Load Other Equipment End Use,Plug Load Other Equipment End Use
SCLMultifamily - High Rise,SCLMultifamily - High RisePlug Load Other,SCL,Multifamily - High Rise,Plug Load Other,Plug Load Other Equipment End Use,Plug Load Other Equipment End Use,Plug Load Other Equipment End Use,Plug Load Other Equipment End Use,Plug Load Other Equipment End Use,Plug Load Other Equipment End Use,Plug Load Other Equipment End Use,Plug Load Other Equipment End Use,Plug Load Other Equipment End Use,Plug Load Other Equipment End Use,Plug Load Other Equipment End Use,Plug Load Other Equipment End Use,Plug Load Other Equipment End Use,Plug Load Other Equipment End Use,Plug Load Other Equipment End Use,Plug Load Other Equipment End Use,Plug Load Other Equipment End Use,Plug Load Other Equipment End Use,Plug Load Other Equipment End Use,Plug Load Other Equipment End Use
SCLSingle Family,SCLSingle FamilyPool Pump,SCL,Single Family,Pool Pump,Seattle Energy Code Pool Pump - Dual Speed,Seattle Energy Code Pool Pump - Dual Speed,Seattle Energy Code Pool Pump - Dual Speed,Seattle Energy Code Pool Pump - Dual Speed,Seattle Energy Code Pool Pump - Dual Speed,Seattle Energy Code Pool Pump - Dual Speed,Seattle Energy Code Pool Pump - Dual Speed,Seattle Energy Code Pool Pump - Dual Speed,Seattle Energy Code Pool Pump - Dual Speed,Seattle Energy Code Pool Pump - Dual Speed,Seattle Energy Code Pool Pump - Dual Speed,Seattle Energy Code Pool Pump - Dual Speed,Seattle Energy Code Pool Pump - Dual Speed,Seattle Energy Code Pool Pump - Dual Speed,Seattle Energy Code Pool Pump - Dual Speed,Seattle Energy Code Pool Pump - Dual Speed,Seattle Energy Code Pool Pump - Dual Speed,Seattle Energy Code Pool Pump - Dual Speed,Seattle Energy Code Pool Pump - Dual Speed,Seattle Energy Code Pool Pump - Dual Speed
SCLSingle Family,SCLSingle FamilyPrinter,SCL,Single Family,Printer,Standard Office Printer,Standard Office Printer,Standard Office Printer,Standard Office Printer,Standard Office Printer,Standard Office Printer,Standard Office Printer,Standard Office Printer,Standard Office Printer,Standard Office Printer,Standard Office Printer,Standard Office Printer,Standard Office Printer,Standard Office Printer,Standard Office Printer,Standard Office Printer,Standard Office Printer,Standard Office Printer,Standard Office Printer,Standard Office Printer
SCLMultifamily - Low Rise,SCLMultifamily - Low RisePrinter,SCL,Multifamily - Low Rise,Printer,Standard Office Printer,Standard Office Printer,Standard Office Printer,Standard Office Printer,Standard Office Printer,Standard Office Printer,Standard Office Printer,Standard Office Printer,Standard Office Printer,Standard Office Printer,Standard Office Printer,Standard Office Printer,Standard Office Printer,Standard Office Printer,Standard Office Printer,Standard Office Printer,Standard Office Printer,Standard Office Printer,Standard Office Printer,Standard Office Printer
SCLMultifamily - Mid Rise,SCLMultifamily - Mid RisePrinter,SCL,Multifamily - Mid Rise,Printer,Standard Office Printer,Standard Office Printer,Standard Office Printer,Standard Office Printer,Standard Office Printer,Standard Office Printer,Standard Office Printer,Standard Office Printer,Standard Office Printer,Standard Office Printer,Standard Office Printer,Standard Office Printer,Standard Office Printer,Standard Office Printer,Standard Office Printer,Standard Office Printer,Standard Office Printer,Standard Office Printer,Standard Office Printer,Standard Office Printer
SCLMultifamily - High Rise,SCLMultifamily - High RisePrinter,SCL,Multifamily - High Rise,Printer,Standard Office Printer,Standard Office Printer,Standard Office Printer,Standard Office Printer,Standard Office Printer,Standard Office Printer,Standard Office Printer,Standard Office Printer,Standard Office Printer,Standard Office Printer,Standard Office Printer,Standard Office Printer,Standard Office Printer,Standard Office Printer,Standard Office Printer,Standard Office Printer,Standard Office Printer,Standard Office Printer,Standard Office Printer,Standard Office Printer
SCLSingle Family,SCLSingle FamilyRefrigerator,SCL,Single Family,Refrigerator,Federal Standard 2014 Refrigerator,Federal Standard 2014 Refrigerator,Federal Standard 2014 Refrigerator,Federal Standard 2014 Refrigerator,Federal Standard 2014 Refrigerator,Federal Standard 2014 Refrigerator,Federal Standard 2014 Refrigerator,Federal Standard 2014 Refrigerator,Federal Standard 2014 Refrigerator,Federal Standard 2014 Refrigerator,Federal Standard 2014 Refrigerator,Federal Standard 2014 Refrigerator,Federal Standard 2014 Refrigerator,Federal Standard 2014 Refrigerator,Federal Standard 2014 Refrigerator,Federal Standard 2014 Refrigerator,Federal Standard 2014 Refrigerator,Federal Standard 2014 Refrigerator,Federal Standard 2014 Refrigerator,Federal Standard 2014 Refrigerator
SCLMultifamily - Low Rise,SCLMultifamily - Low RiseRefrigerator,SCL,Multifamily - Low Rise,Refrigerator,Federal Standard 2014 Refrigerator,Federal Standard 2014 Refrigerator,Federal Standard 2014 Refrigerator,Federal Standard 2014 Refrigerator,Federal Standard 2014 Refrigerator,Federal Standard 2014 Refrigerator,Federal Standard 2014 Refrigerator,Federal Standard 2014 Refrigerator,Federal Standard 2014 Refrigerator,Federal Standard 2014 Refrigerator,Federal Standard 2014 Refrigerator,Federal Standard 2014 Refrigerator,Federal Standard 2014 Refrigerator,Federal Standard 2014 Refrigerator,Federal Standard 2014 Refrigerator,Federal Standard 2014 Refrigerator,Federal Standard 2014 Refrigerator,Federal Standard 2014 Refrigerator,Federal Standard 2014 Refrigerator,Federal Standard 2014 Refrigerator
SCLMultifamily - Mid Rise,SCLMultifamily - Mid RiseRefrigerator,SCL,Multifamily - Mid Rise,Refrigerator,Federal Standard 2014 Refrigerator,Federal Standard 2014 Refrigerator,Federal Standard 2014 Refrigerator,Federal Standard 2014 Refrigerator,Federal Standard 2014 Refrigerator,Federal Standard 2014 Refrigerator,Federal Standard 2014 Refrigerator,Federal Standard 2014 Refrigerator,Federal Standard 2014 Refrigerator,Federal Standard 2014 Refrigerator,Federal Standard 2014 Refrigerator,Federal Standard 2014 Refrigerator,Federal Standard 2014 Refrigerator,Federal Standard 2014 Refrigerator,Federal Standard 2014 Refrigerator,Federal Standard 2014 Refrigerator,Federal Standard 2014 Refrigerator,Federal Standard 2014 Refrigerator,Federal Standard 2014 Refrigerator,Federal Standard 2014 Refrigerator
SCLMultifamily - High Rise,SCLMultifamily - High RiseRefrigerator,SCL,Multifamily - High Rise,Refrigerator,Federal Standard 2014 Refrigerator,Federal Standard 2014 Refrigerator,Federal Standard 2014 Refrigerator,Federal Standard 2014 Refrigerator,Federal Standard 2014 Refrigerator,Federal Standard 2014 Refrigerator,Federal Standard 2014 Refrigerator,Federal Standard 2014 Refrigerator,Federal Standard 2014 Refrigerator,Federal Standard 2014 Refrigerator,Federal Standard 2014 Refrigerator,Federal Standard 2014 Refrigerator,Federal Standard 2014 Refrigerator,Federal Standard 2014 Refrigerator,Federal Standard 2014 Refrigerator,Federal Standard 2014 Refrigerator,Federal Standard 2014 Refrigerator,Federal Standard 2014 Refrigerator,Federal Standard 2014 Refrigerator,Federal Standard 2014 Refrigerator
SCLSingle Family,SCLSingle FamilySet Top Box,SCL,Single Family,Set Top Box,Standard Set Top Box,Standard Set Top Box,Standard Set Top Box,Standard Set Top Box,Standard Set Top Box,Standard Set Top Box,Standard Set Top Box,Standard Set Top Box,Standard Set Top Box,Standard Set Top Box,Standard Set Top Box,Standard Set Top Box,Standard Set Top Box,Standard Set Top Box,Standard Set Top Box,Standard Set Top Box,Standard Set Top Box,Standard Set Top Box,Standard Set Top Box,Standard Set Top Box
SCLMultifamily - Low Rise,SCLMultifamily - Low RiseSet Top Box,SCL,Multifamily - Low Rise,Set Top Box,Standard Set Top Box,Standard Set Top Box,Standard Set Top Box,Standard Set Top Box,Standard Set Top Box,Standard Set Top Box,Standard Set Top Box,Standard Set Top Box,Standard Set Top Box,Standard Set Top Box,Standard Set Top Box,Standard Set Top Box,Standard Set Top Box,Standard Set Top Box,Standard Set Top Box,Standard Set Top Box,Standard Set Top Box,Standard Set Top Box,Standard Set Top Box,Standard Set Top Box
SCLMultifamily - Mid Rise,SCLMultifamily - Mid RiseSet Top Box,SCL,Multifamily - Mid Rise,Set Top Box,Standard Set Top Box,Standard Set Top Box,Standard Set Top Box,Standard Set Top Box,Standard Set Top Box,Standard Set Top Box,Standard Set Top Box,Standard Set Top Box,Standard Set Top Box,Standard Set Top Box,Standard Set Top Box,Standard Set Top Box,Standard Set Top Box,Standard Set Top Box,Standard Set Top Box,Standard Set Top Box,Standard Set Top Box,Standard Set Top Box,Standard Set Top Box,Standard Set Top Box
SCLMultifamily - High Rise,SCLMultifamily - High RiseSet Top Box,SCL,Multifamily - High Rise,Set Top Box,Standard Set Top Box,Standard Set Top Box,Standard Set Top Box,Standard Set Top Box,Standard Set Top Box,Standard Set Top Box,Standard Set Top Box,Standard Set Top Box,Standard Set Top Box,Standard Set Top Box,Standard Set Top Box,Standard Set Top Box,Standard Set Top Box,Standard Set Top Box,Standard Set Top Box,Standard Set Top Box,Standard Set Top Box,Standard Set Top Box,Standard Set Top Box,Standard Set Top Box
SCLSingle Family,SCLSingle FamilyTelevision,SCL,Single Family,Television,Market Average TV,Market Average TV,Market Average TV,Market Average TV,Market Average TV,Market Average TV,Market Average TV,Market Average TV,Market Average TV,Market Average TV,Market Average TV,Market Average TV,Market Average TV,Market Average TV,Market Average TV,Market Average TV,Market Average TV,Market Average TV,Market Average TV,Market Average TV
SCLMultifamily - Low Rise,SCLMultifamily - Low RiseTelevision,SCL,Multifamily - Low Rise,Television,Market Average TV,Market Average TV,Market Average TV,Market Average TV,Market Average TV,Market Average TV,Market Average TV,Market Average TV,Market Average TV,Market Average TV,Market Average TV,Market Average TV,Market Average TV,Market Average TV,Market Average TV,Market Average TV,Market Average TV,Market Average TV,Market Average TV,Market Average TV
SCLMultifamily - Mid Rise,SCLMultifamily - Mid RiseTelevision,SCL,Multifamily - Mid Rise,Television,Market Average TV,Market Average TV,Market Average TV,Market Average TV,Market Average TV,Market Average TV,Market Average TV,Market Average TV,Market Average TV,Market Average TV,Market Average TV,Market Average TV,Market Average TV,Market Average TV,Market Average TV,Market Average TV,Market Average TV,Market Average TV,Market Average TV,Market Average TV
SCLMultifamily - High Rise,SCLMultifamily - High RiseTelevision,SCL,Multifamily - High Rise,Television,Market Average TV,Market Average TV,Market Average TV,Market Average TV,Market Average TV,Market Average TV,Market Average TV,Market Average TV,Market Average TV,Market Average TV,Market Average TV,Market Average TV,Market Average TV,Market Average TV,Market Average TV,Market Average TV,Market Average TV,Market Average TV,Market Average TV,Market Average TV
SCLSingle Family,SCLSingle FamilyVentilation - Air,SCL,Single Family,Ventilation - Air,Federal Standard 2019 ECM Fan Motor,Federal Standard 2019 ECM Fan Motor,Federal Standard 2019 ECM Fan Motor,Federal Standard 2019 ECM Fan Motor,Federal Standard 2019 ECM Fan Motor,Federal Standard 2019 ECM Fan Motor,Federal Standard 2019 ECM Fan Motor,Federal Standard 2019 ECM Fan Motor,Federal Standard 2019 ECM Fan Motor,Federal Standard 2019 ECM Fan Motor,Federal Standard 2019 ECM Fan Motor,Federal Standard 2019 ECM Fan Motor,Federal Standard 2019 ECM Fan Motor,Federal Standard 2019 ECM Fan Motor,Federal Standard 2019 ECM Fan Motor,Federal Standard 2019 ECM Fan Motor,Federal Standard 2019 ECM Fan Motor,Federal Standard 2019 ECM Fan Motor,Federal Standard 2019 ECM Fan Motor,Federal Standard 2019 ECM Fan Motor
SCLMultifamily - Low Rise,SCLMultifamily - Low RiseVentilation - Air,SCL,Multifamily - Low Rise,Ventilation - Air,Federal Standard 2019 ECM Fan Motor,Federal Standard 2019 ECM Fan Motor,Federal Standard 2019 ECM Fan Motor,Federal Standard 2019 ECM Fan Motor,Federal Standard 2019 ECM Fan Motor,Federal Standard 2019 ECM Fan Motor,Federal Standard 2019 ECM Fan Motor,Federal Standard 2019 ECM Fan Motor,Federal Standard 2019 ECM Fan Motor,Federal Standard 2019 ECM Fan Motor,Federal Standard 2019 ECM Fan Motor,Federal Standard 2019 ECM Fan Motor,Federal Standard 2019 ECM Fan Motor,Federal Standard 2019 ECM Fan Motor,Federal Standard 2019 ECM Fan Motor,Federal Standard 2019 ECM Fan Motor,Federal Standard 2019 ECM Fan Motor,Federal Standard 2019 ECM Fan Motor,Federal Standard 2019 ECM Fan Motor,Federal Standard 2019 ECM Fan Motor
SCLMultifamily - Mid Rise,SCLMultifamily - Mid RiseVentilation - Air,SCL,Multifamily - Mid Rise,Ventilation - Air,Federal Standard 2019 ECM Fan Motor,Federal Standard 2019 ECM Fan Motor,Federal Standard 2019 ECM Fan Motor,Federal Standard 2019 ECM Fan Motor,Federal Standard 2019 ECM Fan Motor,Federal Standard 2019 ECM Fan Motor,Federal Standard 2019 ECM Fan Motor,Federal Standard 2019 ECM Fan Motor,Federal Standard 2019 ECM Fan Motor,Federal Standard 2019 ECM Fan Motor,Federal Standard 2019 ECM Fan Motor,Federal Standard 2019 ECM Fan Motor,Federal Standard 2019 ECM Fan Motor,Federal Standard 2019 ECM Fan Motor,Federal Standard 2019 ECM Fan Motor,Federal Standard 2019 ECM Fan Motor,Federal Standard 2019 ECM Fan Motor,Federal Standard 2019 ECM Fan Motor,Federal Standard 2019 ECM Fan Motor,Federal Standard 2019 ECM Fan Motor
