Segment,End Use,Construction Vintage,Start Fuel Share,End Fuel Share,Start Year,End Year,Interpolate Fuel Share,Customer Class
Multifamily - High Rise Low Income,Heat Pump,New,1.0,1.0,2021,2041,linear,Residential
Multifamily - High Rise Low Income,Heat Room,Existing,0.9722222220000001,0.9722222220000001,2021,2041,linear,Residential
Multifamily - High Rise Low Income,Heat Room,New,0.9722222220000001,1.0,2021,2041,linear,Residential
Multifamily - High Rise Low Income,Home Audio System,Existing,1.0,1.0,2021,2041,linear,Residential
Multifamily - High Rise Low Income,Home Audio System,New,1.0,1.0,2021,2041,linear,Residential
Multifamily - High Rise Low Income,Lighting Exterior Standard,Existing,1.0,1.0,2021,2041,linear,Residential
Multifamily - High Rise Low Income,Lighting Exterior Standard,New,1.0,1.0,2021,2041,linear,Residential
Multifamily - High Rise Low Income,Lighting Interior Linear Fluorescent,Existing,1.0,1.0,2021,2041,linear,Residential
Multifamily - High Rise Low Income,Lighting Interior Linear Fluorescent,New,1.0,1.0,2021,2041,linear,Residential
Multifamily - High Rise Low Income,Lighting Interior Specialty,Existing,1.0,1.0,2021,2041,linear,Residential
Multifamily - High Rise Low Income,Lighting Interior Specialty,New,1.0,1.0,2021,2041,linear,Residential
Multifamily - High Rise Low Income,Lighting Interior Standard,Existing,1.0,1.0,2021,2041,linear,Residential
Multifamily - High Rise Low Income,Lighting Interior Standard,New,1.0,1.0,2021,2041,linear,Residential
Multifamily - High Rise Low Income,Microwave,Existing,1.0,1.0,2021,2041,linear,Residential
Multifamily - High Rise Low Income,Microwave,New,1.0,1.0,2021,2041,linear,Residential
Multifamily - High Rise Low Income,Monitor,Existing,1.0,1.0,2021,2041,linear,Residential
Multifamily - High Rise Low Income,Monitor,New,1.0,1.0,2021,2041,linear,Residential
Multifamily - High Rise Low Income,Multifunction Device,Existing,1.0,1.0,2021,2041,linear,Residential
Multifamily - High Rise Low Income,Multifunction Device,New,1.0,1.0,2021,2041,linear,Residential
Multifamily - High Rise Low Income,Other,Existing,1.0,1.0,2021,2041,linear,Residential
Multifamily - High Rise Low Income,Other,New,1.0,1.0,2021,2041,linear,Residential
Multifamily - High Rise Low Income,Plug Load Other,Existing,1.0,1.0,2021,2041,linear,Residential
Multifamily - High Rise Low Income,Plug Load Other,New,1.0,1.0,2021,2041,linear,Residential
Multifamily - High Rise Low Income,Printer,Existing,1.0,1.0,2021,2041,linear,Residential
Multifamily - High Rise Low Income,Printer,New,1.0,1.0,2021,2041,linear,Residential
Multifamily - High Rise Low Income,Refrigerator,Existing,1.0,1.0,2021,2041,linear,Residential
Multifamily - High Rise Low Income,Refrigerator,New,1.0,1.0,2021,2041,linear,Residential
Multifamily - High Rise Low Income,Set Top Box,Existing,1.0,1.0,2021,2041,linear,Residential
Multifamily - High Rise Low Income,Set Top Box,New,1.0,1.0,2021,2041,linear,Residential
Multifamily - High Rise Low Income,Television,Existing,1.0,1.0,2021,2041,linear,Residential
Multifamily - High Rise Low Income,Television,New,1.0,1.0,2021,2041,linear,Residential
Multifamily - High Rise Low Income,Ventilation - Air,Existing,1.0,1.0,2021,2041,linear,Residential
Multifamily - High Rise Low Income,Ventilation - Air,New,1.0,1.0,2021,2041,linear,Residential
Multifamily - High Rise Low Income,Waste Water,Existing,1.0,1.0,2021,2041,linear,Residential
Multifamily - High Rise Low Income,Waste Water,New,1.0,1.0,2021,2041,linear,Residential
Multifamily - High Rise Low Income,Water Heat GT 55 Gal,Existing,1.0,1.0,2021,2041,linear,Residential
Multifamily - High Rise Low Income,Water Heat GT 55 Gal,New,1.0,1.0,2021,2041,linear,Residential
Multifamily - High Rise Low Income,Water Heat LE 55 Gal,Existing,1.0,1.0,2021,2041,linear,Residential
Multifamily - High Rise Low Income,Water Heat LE 55 Gal,New,1.0,1.0,2021,2041,linear,Residential
Multifamily - Low Rise,Air Purifier,Existing,1.0,1.0,2021,2041,linear,Residential
Multifamily - Low Rise,Air Purifier,New,1.0,1.0,2021,2041,linear,Residential
Multifamily - Low Rise,Circulation - DHW,Existing,1.0,1.0,2021,2041,linear,Residential
Multifamily - Low Rise,Circulation - DHW,New,1.0,1.0,2021,2041,linear,Residential
Multifamily - Low Rise,Circulation - Hydronic Heating,Existing,1.0,1.0,2021,2041,linear,Residential
Multifamily - Low Rise,Circulation - Hydronic Heating,New,1.0,1.0,2021,2041,linear,Residential
Multifamily - Low Rise,Computer - Desktop,Existing,1.0,1.0,2021,2041,linear,Residential
Multifamily - Low Rise,Computer - Desktop,New,1.0,1.0,2021,2041,linear,Residential
Multifamily - Low Rise,Computer - Laptop,Existing,1.0,1.0,2021,2041,linear,Residential
Multifamily - Low Rise,Computer - Laptop,New,1.0,1.0,2021,2041,linear,Residential
Multifamily - Low Rise,Cooking Oven,Existing,0.894736842,0.894736842,2021,2041,linear,Residential
Multifamily - Low Rise,Cooking Oven,New,0.894736842,0.894736842,2021,2041,linear,Residential
Multifamily - Low Rise,Cooking Range,Existing,0.894736842,0.894736842,2021,2041,linear,Residential
Multifamily - Low Rise,Cooking Range,New,0.894736842,0.894736842,2021,2041,linear,Residential
Multifamily - Low Rise,Cool Central,Existing,1.0,1.0,2021,2041,linear,Residential
Multifamily - Low Rise,Cool Central,New,1.0,1.0,2021,2041,linear,Residential
Multifamily - Low Rise,Cool Room,Existing,1.0,1.0,2021,2041,linear,Residential
Multifamily - Low Rise,Cool Room,New,1.0,1.0,2021,2041,linear,Residential
Multifamily - Low Rise,Copier,Existing,1.0,1.0,2021,2041,linear,Residential
Multifamily - Low Rise,Copier,New,1.0,1.0,2021,2041,linear,Residential
Multifamily - Low Rise,DVD Player,Existing,1.0,1.0,2021,2041,linear,Residential
Multifamily - Low Rise,DVD Player,New,1.0,1.0,2021,2041,linear,Residential
Multifamily - Low Rise,Dryer,Existing,1.0,1.0,2021,2041,linear,Residential
Multifamily - Low Rise,Dryer,New,1.0,1.0,2021,2041,linear,Residential
Multifamily - Low Rise,Freezer,Existing,1.0,1.0,2021,2041,linear,Residential
Multifamily - Low Rise,Freezer,New,1.0,1.0,2021,2041,linear,Residential
Multifamily - Low Rise,Heat Central,Existing,0.0,0.0,2021,2041,linear,Residential
Multifamily - Low Rise,Heat Central,New,0.0,0.0,2021,2041,linear,Residential
Multifamily - Low Rise,Heat Pump,Existing,1.0,1.0,2021,2041,linear,Residential
Multifamily - Low Rise,Heat Pump,New,1.0,1.0,2021,2041,linear,Residential
Multifamily - Low Rise,Heat Room,Existing,1.0,1.0,2021,2041,linear,Residential
Multifamily - Low Rise,Heat Room,New,1.0,1.0,2021,2041,linear,Residential
Multifamily - Low Rise,Home Audio System,Existing,1.0,1.0,2021,2041,linear,Residential
Multifamily - Low Rise,Home Audio System,New,1.0,1.0,2021,2041,linear,Residential
Multifamily - Low Rise,Lighting Exterior Standard,Existing,1.0,1.0,2021,2041,linear,Residential
Multifamily - Low Rise,Lighting Exterior Standard,New,1.0,1.0,2021,2041,linear,Residential
Multifamily - Low Rise,Lighting Interior Linear Fluorescent,Existing,1.0,1.0,2021,2041,linear,Residential
Multifamily - Low Rise,Lighting Interior Linear Fluorescent,New,1.0,1.0,2021,2041,linear,Residential
Multifamily - Low Rise,Lighting Interior Specialty,Existing,1.0,1.0,2021,2041,linear,Residential
Multifamily - Low Rise,Lighting Interior Specialty,New,1.0,1.0,2021,2041,linear,Residential
Multifamily - Low Rise,Lighting Interior Standard,Existing,1.0,1.0,2021,2041,linear,Residential
Multifamily - Low Rise,Lighting Interior Standard,New,1.0,1.0,2021,2041,linear,Residential
Multifamily - Low Rise,Microwave,Existing,1.0,1.0,2021,2041,linear,Residential
Multifamily - Low Rise,Microwave,New,1.0,1.0,2021,2041,linear,Residential
Multifamily - Low Rise,Monitor,Existing,1.0,1.0,2021,2041,linear,Residential
Multifamily - Low Rise,Monitor,New,1.0,1.0,2021,2041,linear,Residential
Multifamily - Low Rise,Multifunction Device,Existing,1.0,1.0,2021,2041,linear,Residential
Multifamily - Low Rise,Multifunction Device,New,1.0,1.0,2021,2041,linear,Residential
Multifamily - Low Rise,Other,Existing,1.0,1.0,2021,2041,linear,Residential
Multifamily - Low Rise,Other,New,1.0,1.0,2021,2041,linear,Residential
Multifamily - Low Rise,Plug Load Other,Existing,1.0,1.0,2021,2041,linear,Residential
Multifamily - Low Rise,Plug Load Other,New,1.0,1.0,2021,2041,linear,Residential
Multifamily - Low Rise,Printer,Existing,1.0,1.0,2021,2041,linear,Residential
Multifamily - Low Rise,Printer,New,1.0,1.0,2021,2041,linear,Residential
Multifamily - Low Rise,Refrigerator,Existing,1.0,1.0,2021,2041,linear,Residential
Multifamily - Low Rise,Refrigerator,New,1.0,1.0,2021,2041,linear,Residential
Multifamily - Low Rise,Set Top Box,Existing,1.0,1.0,2021,2041,linear,Residential
Multifamily - Low Rise,Set Top Box,New,1.0,1.0,2021,2041,linear,Residential
Multifamily - Low Rise,Television,Existing,1.0,1.0,2021,2041,linear,Residential
Multifamily - Low Rise,Television,New,1.0,1.0,2021,2041,linear,Residential
Multifamily - Low Rise,Ventilation - Air,Existing,1.0,1.0,2021,2041,linear,Residential
Multifamily - Low Rise,Ventilation - Air,New,1.0,1.0,2021,2041,linear,Residential
Multifamily - Low Rise,Waste Water,Existing,1.0,1.0,2021,2041,linear,Residential
Multifamily - Low Rise,Waste Water,New,1.0,1.0,2021,2041,linear,Residential
Multifamily - Low Rise,Water Heat GT 55 Gal,Existing,0.0,0.0,2021,2041,linear,Residential
Multifamily - Low Rise,Water Heat GT 55 Gal,New,0.0,0.0,2021,2041,linear,Residential
Multifamily - Low Rise,Water Heat LE 55 Gal,Existing,1.0,1.0,2021,2041,linear,Residential
Multifamily - Low Rise,Water Heat LE 55 Gal,New,1.0,1.0,2021,2041,linear,Residential
Multifamily - Low Rise Low Income,Air Purifier,Existing,1.0,1.0,2021,2041,linear,Residential
Multifamily - Low Rise Low Income,Air Purifier,New,1.0,1.0,2021,2041,linear,Residential
Multifamily - Low Rise Low Income,Circulation - DHW,Existing,1.0,1.0,2021,2041,linear,Residential
Multifamily - Low Rise Low Income,Circulation - DHW,New,1.0,1.0,2021,2041,linear,Residential
Multifamily - Low Rise Low Income,Circulation - Hydronic Heating,Existing,1.0,1.0,2021,2041,linear,Residential
Multifamily - Low Rise Low Income,Circulation - Hydronic Heating,New,1.0,1.0,2021,2041,linear,Residential
Multifamily - Low Rise Low Income,Computer - Desktop,Existing,1.0,1.0,2021,2041,linear,Residential
Multifamily - Low Rise Low Income,Computer - Desktop,New,1.0,1.0,2021,2041,linear,Residential
Multifamily - Low Rise Low Income,Computer - Laptop,Existing,1.0,1.0,2021,2041,linear,Residential
Multifamily - Low Rise Low Income,Computer - Laptop,New,1.0,1.0,2021,2041,linear,Residential
Multifamily - Low Rise Low Income,Cooking Oven,Existing,0.894736842,0.894736842,2021,2041,linear,Residential
Multifamily - Low Rise Low Income,Cooking Oven,New,0.894736842,0.894736842,2021,2041,linear,Residential
Multifamily - Low Rise Low Income,Cooking Range,Existing,0.894736842,0.894736842,2021,2041,linear,Residential
Multifamily - Low Rise Low Income,Cooking Range,New,0.894736842,0.894736842,2021,2041,linear,Residential
Multifamily - Low Rise Low Income,Cool Central,Existing,1.0,1.0,2021,2041,linear,Residential
Multifamily - Low Rise Low Income,Cool Central,New,1.0,1.0,2021,2041,linear,Residential
Multifamily - Low Rise Low Income,Cool Room,Existing,1.0,1.0,2021,2041,linear,Residential
Multifamily - Low Rise Low Income,Cool Room,New,1.0,1.0,2021,2041,linear,Residential
Multifamily - Low Rise Low Income,Copier,Existing,1.0,1.0,2021,2041,linear,Residential
Multifamily - Low Rise Low Income,Copier,New,1.0,1.0,2021,2041,linear,Residential
Multifamily - Low Rise Low Income,DVD Player,Existing,1.0,1.0,2021,2041,linear,Residential
Multifamily - Low Rise Low Income,DVD Player,New,1.0,1.0,2021,2041,linear,Residential
Multifamily - Low Rise Low Income,Dryer,Existing,1.0,1.0,2021,2041,linear,Residential
Multifamily - Low Rise Low Income,Dryer,New,1.0,1.0,2021,2041,linear,Residential
Multifamily - Low Rise Low Income,Freezer,Existing,1.0,1.0,2021,2041,linear,Residential
Multifamily - Low Rise Low Income,Freezer,New,1.0,1.0,2021,2041,linear,Residential
Multifamily - Low Rise Low Income,Heat Central,Existing,0.0,0.0,2021,2041,linear,Residential
Multifamily - Low Rise Low Income,Heat Central,New,0.0,0.0,2021,2041,linear,Residential
Multifamily - Low Rise Low Income,Heat Pump,Existing,1.0,1.0,2021,2041,linear,Residential
Multifamily - Low Rise Low Income,Heat Pump,New,1.0,1.0,2021,2041,linear,Residential
Multifamily - Low Rise Low Income,Heat Room,Existing,1.0,1.0,2021,2041,linear,Residential
Multifamily - Low Rise Low Income,Heat Room,New,1.0,1.0,2021,2041,linear,Residential
Multifamily - Low Rise Low Income,Home Audio System,Existing,1.0,1.0,2021,2041,linear,Residential
Multifamily - Low Rise Low Income,Home Audio System,New,1.0,1.0,2021,2041,linear,Residential
Multifamily - Low Rise Low Income,Lighting Exterior Standard,Existing,1.0,1.0,2021,2041,linear,Residential
Multifamily - Low Rise Low Income,Lighting Exterior Standard,New,1.0,1.0,2021,2041,linear,Residential
Multifamily - Low Rise Low Income,Lighting Interior Linear Fluorescent,Existing,1.0,1.0,2021,2041,linear,Residential
Multifamily - Low Rise Low Income,Lighting Interior Linear Fluorescent,New,1.0,1.0,2021,2041,linear,Residential
Multifamily - Low Rise Low Income,Lighting Interior Specialty,Existing,1.0,1.0,2021,2041,linear,Residential
Multifamily - Low Rise Low Income,Lighting Interior Specialty,New,1.0,1.0,2021,2041,linear,Residential
Multifamily - Low Rise Low Income,Lighting Interior Standard,Existing,1.0,1.0,2021,2041,linear,Residential
Multifamily - Low Rise Low Income,Lighting Interior Standard,New,1.0,1.0,2021,2041,linear,Residential
Multifamily - Low Rise Low Income,Microwave,Existing,1.0,1.0,2021,2041,linear,Residential
Multifamily - Low Rise Low Income,Microwave,New,1.0,1.0,2021,2041,linear,Residential
Multifamily - Low Rise Low Income,Monitor,Existing,1.0,1.0,2021,2041,linear,Residential
Multifamily - Low Rise Low Income,Monitor,New,1.0,1.0,2021,2041,linear,Residential
Multifamily - Low Rise Low Income,Multifunction Device,Existing,1.0,1.0,2021,2041,linear,Residential
Multifamily - Low Rise Low Income,Multifunction Device,New,1.0,1.0,2021,2041,linear,Residential
Multifamily - Low Rise Low Income,Other,Existing,1.0,1.0,2021,2041,linear,Residential
Multifamily - Low Rise Low Income,Other,New,1.0,1.0,2021,2041,linear,Residential
Multifamily - Low Rise Low Income,Plug Load Other,Existing,1.0,1.0,2021,2041,linear,Residential
Multifamily - Low Rise Low Income,Plug Load Other,New,1.0,1.0,2021,2041,linear,Residential
Multifamily - Low Rise Low Income,Printer,Existing,1.0,1.0,2021,2041,linear,Residential
Multifamily - Low Rise Low Income,Printer,New,1.0,1.0,2021,2041,linear,Residential
Multifamily - Low Rise Low Income,Refrigerator,Existing,1.0,1.0,2021,2041,linear,Residential
Multifamily - Low Rise Low Income,Refrigerator,New,1.0,1.0,2021,2041,linear,Residential
Multifamily - Low Rise Low Income,Set Top Box,Existing,1.0,1.0,2021,2041,linear,Residential
Multifamily - Low Rise Low Income,Set Top Box,New,1.0,1.0,2021,2041,linear,Residential
Multifamily - Low Rise Low Income,Television,Existing,1.0,1.0,2021,2041,linear,Residential
Multifamily - Low Rise Low Income,Television,New,1.0,1.0,2021,2041,linear,Residential
Multifamily - Low Rise Low Income,Ventilation - Air,Existing,1.0,1.0,2021,2041,linear,Residential
Multifamily - Low Rise Low Income,Ventilation - Air,New,1.0,1.0,2021,2041,linear,Residential
Multifamily - Low Rise Low Income,Waste Water,Existing,1.0,1.0,2021,2041,linear,Residential
Multifamily - Low Rise Low Income,Waste Water,New,1.0,1.0,2021,2041,linear,Residential
