Segment,End Use,Construction Vintage,Efficiency Level,Efficiency Description,Start Efficiency Share,End Efficiency Share,Start Year,End Year,Interpolate Efficiency Share,Customer Class
Multifamily - High Rise,Dryer,New,1,Market Average Dryer,0.0,0.0,2021,2041,linear,Residential
Multifamily - High Rise,Dryer,New,2,Below Standard Dryer - CEF 2.72,0.0,0.0,2021,2041,linear,Residential
Multifamily - High Rise,Dryer,New,3,Federal Standard 2015 Dryer - CEF 3.73,1.0,1.0,2021,2041,linear,Residential
Multifamily - High Rise,Dryer,New,4,Heat Pump Dryer,0.0,0.0,2021,2041,linear,Residential
Multifamily - High Rise,Freezer,Existing,1,Below Standard Freezer,0.569220779,0.0,2021,2041,linear,Residential
Multifamily - High Rise,Freezer,Existing,2,Federal Standard 2014 Freezer,0.126493506,0.695714286,2021,2041,linear,Residential
Multifamily - High Rise,Freezer,Existing,3,Market Average Freezer,0.0,0.0,2021,2041,linear,Residential
Multifamily - High Rise,Freezer,Existing,4,Freezer - ENERGY STAR,0.299788881,0.299788881,2021,2041,linear,Residential
Multifamily - High Rise,Freezer,Existing,5,Freezer - ENERGY STAR Most Efficient,0.0044968329999999996,0.0044968329999999996,2021,2041,linear,Residential
Multifamily - High Rise,Freezer,New,1,Below Standard Freezer,0.0,0.0,2021,2041,linear,Residential
Multifamily - High Rise,Freezer,New,2,Federal Standard 2014 Freezer,0.695714286,0.695714286,2021,2041,linear,Residential
Multifamily - High Rise,Freezer,New,3,Market Average Freezer,0.0,0.0,2021,2041,linear,Residential
Multifamily - High Rise,Freezer,New,4,Freezer - ENERGY STAR,0.299788881,0.299788881,2021,2041,linear,Residential
Multifamily - High Rise,Freezer,New,5,Freezer - ENERGY STAR Most Efficient,0.0044968329999999996,0.0044968329999999996,2021,2041,linear,Residential
Multifamily - High Rise,Heat Central,Existing,1,Standard Electric Furnace HSPF = 1,1.0,1.0,2021,2041,linear,Residential
Multifamily - High Rise,Heat Central,New,1,Standard Electric Furnace HSPF = 1,1.0,1.0,2021,2041,linear,Residential
Multifamily - High Rise,Heat Pump,Existing,1,Below Standard Heat Pump - SEER/EER 10/9.2 and HSPF 7.2 (Split System),0.424509246,0.0,2021,2041,linear,Residential
Multifamily - High Rise,Heat Pump,Existing,2,Federal Standard 2015 Heat Pump - SEER/EER 14/12 and HSPF 8.2 (Split System),0.21950245899999998,0.0,2021,2041,linear,Residential
Multifamily - High Rise,Heat Pump,Existing,3,Federal Standard 2023 Heat Pump - SEER/EER 15/12.5 and HSPF 8.8 (Split System),0.097863336,0.7418750409999999,2021,2041,linear,Residential
Multifamily - High Rise,Heat Pump,Existing,4,Market Average Heat Pump,0.0,0.0,2021,2041,linear,Residential
Multifamily - High Rise,Heat Pump,Existing,5,HVAC Upgrade - Heat Pump Upgrade to 9.5 HSPF/15.5 SEER + HZ1CZ1,0.17347566,0.17347566,2021,2041,linear,Residential
Multifamily - High Rise,Heat Pump,Existing,6,HVAC Upgrade - Heat Pump Upgrade to 12 HSPF/18 SEER + HZ1CZ1,0.084649299,0.084649299,2021,2041,linear,Residential
Multifamily - High Rise,Heat Pump,New,1,Below Standard Heat Pump - SEER/EER 10/9.2 and HSPF 7.2 (Split System),0.0,0.0,2021,2041,linear,Residential
