RegionSegment,RegionSegmentEndUse,Region,Segment,End Use,Construction Vintage,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041
SCLMultifamily - Low Rise Low Income,SCLMultifamily - Low Rise Low IncomeComputer - Laptop,SCL,Multifamily - Low Rise Low Income,Computer - Laptop,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - Mid Rise,SCLMultifamily - Mid RiseComputer - Laptop,SCL,Multifamily - Mid Rise,Computer - Laptop,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - Mid Rise Low Income,SCLMultifamily - Mid Rise Low IncomeComputer - Laptop,SCL,Multifamily - Mid Rise Low Income,Computer - Laptop,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLSingle Family,SCLSingle FamilyComputer - Laptop,SCL,Single Family,Computer - Laptop,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLSingle Family Low Income,SCLSingle Family Low IncomeComputer - Laptop,SCL,Single Family Low Income,Computer - Laptop,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - High Rise,SCLMultifamily - High RiseCooking Oven,SCL,Multifamily - High Rise,Cooking Oven,Existing,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558
SCLMultifamily - High Rise Low Income,SCLMultifamily - High Rise Low IncomeCooking Oven,SCL,Multifamily - High Rise Low Income,Cooking Oven,Existing,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558
SCLMultifamily - Low Rise,SCLMultifamily - Low RiseCooking Oven,SCL,Multifamily - Low Rise,Cooking Oven,Existing,0.894736842,0.894736842,0.894736842,0.894736842,0.894736842,0.894736842,0.894736842,0.894736842,0.894736842,0.894736842,0.894736842,0.894736842,0.894736842,0.894736842,0.894736842,0.894736842,0.894736842,0.894736842,0.894736842,0.894736842,0.894736842
SCLMultifamily - Low Rise Low Income,SCLMultifamily - Low Rise Low IncomeCooking Oven,SCL,Multifamily - Low Rise Low Income,Cooking Oven,Existing,0.894736842,0.894736842,0.894736842,0.894736842,0.894736842,0.894736842,0.894736842,0.894736842,0.894736842,0.894736842,0.894736842,0.894736842,0.894736842,0.894736842,0.894736842,0.894736842,0.894736842,0.894736842,0.894736842,0.894736842,0.894736842
SCLMultifamily - Mid Rise,SCLMultifamily - Mid RiseCooking Oven,SCL,Multifamily - Mid Rise,Cooking Oven,Existing,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558
SCLMultifamily - Mid Rise Low Income,SCLMultifamily - Mid Rise Low IncomeCooking Oven,SCL,Multifamily - Mid Rise Low Income,Cooking Oven,Existing,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558
SCLSingle Family,SCLSingle FamilyCooking Oven,SCL,Single Family,Cooking Oven,Existing,0.808743169,0.808743169,0.808743169,0.808743169,0.808743169,0.808743169,0.808743169,0.808743169,0.808743169,0.808743169,0.808743169,0.808743169,0.808743169,0.808743169,0.808743169,0.808743169,0.808743169,0.808743169,0.808743169,0.808743169,0.808743169
SCLSingle Family Low Income,SCLSingle Family Low IncomeCooking Oven,SCL,Single Family Low Income,Cooking Oven,Existing,0.808743169,0.808743169,0.808743169,0.808743169,0.808743169,0.808743169,0.808743169,0.808743169,0.808743169,0.808743169,0.808743169,0.808743169,0.808743169,0.808743169,0.808743169,0.808743169,0.808743169,0.808743169,0.808743169,0.808743169,0.808743169
SCLMultifamily - High Rise,SCLMultifamily - High RiseCooking Range,SCL,Multifamily - High Rise,Cooking Range,Existing,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558
SCLMultifamily - High Rise Low Income,SCLMultifamily - High Rise Low IncomeCooking Range,SCL,Multifamily - High Rise Low Income,Cooking Range,Existing,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558
SCLMultifamily - Low Rise,SCLMultifamily - Low RiseCooking Range,SCL,Multifamily - Low Rise,Cooking Range,Existing,0.894736842,0.894736842,0.894736842,0.894736842,0.894736842,0.894736842,0.894736842,0.894736842,0.894736842,0.894736842,0.894736842,0.894736842,0.894736842,0.894736842,0.894736842,0.894736842,0.894736842,0.894736842,0.894736842,0.894736842,0.894736842
SCLMultifamily - Low Rise Low Income,SCLMultifamily - Low Rise Low IncomeCooking Range,SCL,Multifamily - Low Rise Low Income,Cooking Range,Existing,0.894736842,0.894736842,0.894736842,0.894736842,0.894736842,0.894736842,0.894736842,0.894736842,0.894736842,0.894736842,0.894736842,0.894736842,0.894736842,0.894736842,0.894736842,0.894736842,0.894736842,0.894736842,0.894736842,0.894736842,0.894736842
SCLMultifamily - Mid Rise,SCLMultifamily - Mid RiseCooking Range,SCL,Multifamily - Mid Rise,Cooking Range,Existing,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558
SCLMultifamily - Mid Rise Low Income,SCLMultifamily - Mid Rise Low IncomeCooking Range,SCL,Multifamily - Mid Rise Low Income,Cooking Range,Existing,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558
