RegionSegment,RegionSegmentEndUse,Region,Segment,End Use,Construction Vintage,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041
SCLMultifamily - Mid Rise,SCLMultifamily - Mid RisePrinter,SCL,Multifamily - Mid Rise,Printer,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - Mid Rise Low Income,SCLMultifamily - Mid Rise Low IncomePrinter,SCL,Multifamily - Mid Rise Low Income,Printer,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLSingle Family,SCLSingle FamilyPrinter,SCL,Single Family,Printer,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLSingle Family Low Income,SCLSingle Family Low IncomePrinter,SCL,Single Family Low Income,Printer,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - High Rise,SCLMultifamily - High RiseRefrigerator,SCL,Multifamily - High Rise,Refrigerator,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - High Rise Low Income,SCLMultifamily - High Rise Low IncomeRefrigerator,SCL,Multifamily - High Rise Low Income,Refrigerator,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - Low Rise,SCLMultifamily - Low RiseRefrigerator,SCL,Multifamily - Low Rise,Refrigerator,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - Low Rise Low Income,SCLMultifamily - Low Rise Low IncomeRefrigerator,SCL,Multifamily - Low Rise Low Income,Refrigerator,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - Mid Rise,SCLMultifamily - Mid RiseRefrigerator,SCL,Multifamily - Mid Rise,Refrigerator,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - Mid Rise Low Income,SCLMultifamily - Mid Rise Low IncomeRefrigerator,SCL,Multifamily - Mid Rise Low Income,Refrigerator,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLSingle Family,SCLSingle FamilyRefrigerator,SCL,Single Family,Refrigerator,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLSingle Family Low Income,SCLSingle Family Low IncomeRefrigerator,SCL,Single Family Low Income,Refrigerator,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - High Rise,SCLMultifamily - High RiseSet Top Box,SCL,Multifamily - High Rise,Set Top Box,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - High Rise Low Income,SCLMultifamily - High Rise Low IncomeSet Top Box,SCL,Multifamily - High Rise Low Income,Set Top Box,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - Low Rise,SCLMultifamily - Low RiseSet Top Box,SCL,Multifamily - Low Rise,Set Top Box,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - Low Rise Low Income,SCLMultifamily - Low Rise Low IncomeSet Top Box,SCL,Multifamily - Low Rise Low Income,Set Top Box,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - Mid Rise,SCLMultifamily - Mid RiseSet Top Box,SCL,Multifamily - Mid Rise,Set Top Box,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - Mid Rise Low Income,SCLMultifamily - Mid Rise Low IncomeSet Top Box,SCL,Multifamily - Mid Rise Low Income,Set Top Box,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLSingle Family,SCLSingle FamilySet Top Box,SCL,Single Family,Set Top Box,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLSingle Family Low Income,SCLSingle Family Low IncomeSet Top Box,SCL,Single Family Low Income,Set Top Box,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - High Rise,SCLMultifamily - High RiseTelevision,SCL,Multifamily - High Rise,Television,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - High Rise Low Income,SCLMultifamily - High Rise Low IncomeTelevision,SCL,Multifamily - High Rise Low Income,Television,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - Low Rise,SCLMultifamily - Low RiseTelevision,SCL,Multifamily - Low Rise,Television,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - Low Rise Low Income,SCLMultifamily - Low Rise Low IncomeTelevision,SCL,Multifamily - Low Rise Low Income,Television,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - Mid Rise,SCLMultifamily - Mid RiseTelevision,SCL,Multifamily - Mid Rise,Television,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - Mid Rise Low Income,SCLMultifamily - Mid Rise Low IncomeTelevision,SCL,Multifamily - Mid Rise Low Income,Television,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLSingle Family,SCLSingle FamilyTelevision,SCL,Single Family,Television,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLSingle Family Low Income,SCLSingle Family Low IncomeTelevision,SCL,Single Family Low Income,Television,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - High Rise,SCLMultifamily - High RiseVentilation - Air,SCL,Multifamily - High Rise,Ventilation - Air,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - High Rise Low Income,SCLMultifamily - High Rise Low IncomeVentilation - Air,SCL,Multifamily - High Rise Low Income,Ventilation - Air,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - Low Rise,SCLMultifamily - Low RiseVentilation - Air,SCL,Multifamily - Low Rise,Ventilation - Air,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - Low Rise Low Income,SCLMultifamily - Low Rise Low IncomeVentilation - Air,SCL,Multifamily - Low Rise Low Income,Ventilation - Air,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - Mid Rise,SCLMultifamily - Mid RiseVentilation - Air,SCL,Multifamily - Mid Rise,Ventilation - Air,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - Mid Rise Low Income,SCLMultifamily - Mid Rise Low IncomeVentilation - Air,SCL,Multifamily - Mid Rise Low Income,Ventilation - Air,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLSingle Family,SCLSingle FamilyVentilation - Air,SCL,Single Family,Ventilation - Air,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLSingle Family Low Income,SCLSingle Family Low IncomeVentilation - Air,SCL,Single Family Low Income,Ventilation - Air,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - High Rise,SCLMultifamily - High RiseWaste Water,SCL,Multifamily - High Rise,Waste Water,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - High Rise Low Income,SCLMultifamily - High Rise Low IncomeWaste Water,SCL,Multifamily - High Rise Low Income,Waste Water,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - Low Rise,SCLMultifamily - Low RiseWaste Water,SCL,Multifamily - Low Rise,Waste Water,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - Low Rise Low Income,SCLMultifamily - Low Rise Low IncomeWaste Water,SCL,Multifamily - Low Rise Low Income,Waste Water,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - Mid Rise,SCLMultifamily - Mid RiseWaste Water,SCL,Multifamily - Mid Rise,Waste Water,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - Mid Rise Low Income,SCLMultifamily - Mid Rise Low IncomeWaste Water,SCL,Multifamily - Mid Rise Low Income,Waste Water,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLSingle Family,SCLSingle FamilyWaste Water,SCL,Single Family,Waste Water,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLSingle Family Low Income,SCLSingle Family Low IncomeWaste Water,SCL,Single Family Low Income,Waste Water,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - High Rise,SCLMultifamily - High RiseWater Heat GT 55 Gal,SCL,Multifamily - High Rise,Water Heat GT 55 Gal,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - High Rise Low Income,SCLMultifamily - High Rise Low IncomeWater Heat GT 55 Gal,SCL,Multifamily - High Rise Low Income,Water Heat GT 55 Gal,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - Low Rise,SCLMultifamily - Low RiseWater Heat GT 55 Gal,SCL,Multifamily - Low Rise,Water Heat GT 55 Gal,Existing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SCLMultifamily - Low Rise Low Income,SCLMultifamily - Low Rise Low IncomeWater Heat GT 55 Gal,SCL,Multifamily - Low Rise Low Income,Water Heat GT 55 Gal,Existing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SCLMultifamily - Mid Rise,SCLMultifamily - Mid RiseWater Heat GT 55 Gal,SCL,Multifamily - Mid Rise,Water Heat GT 55 Gal,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - Mid Rise Low Income,SCLMultifamily - Mid Rise Low IncomeWater Heat GT 55 Gal,SCL,Multifamily - Mid Rise Low Income,Water Heat GT 55 Gal,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLSingle Family,SCLSingle FamilyWater Heat GT 55 Gal,SCL,Single Family,Water Heat GT 55 Gal,Existing,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88
SCLSingle Family Low Income,SCLSingle Family Low IncomeWater Heat GT 55 Gal,SCL,Single Family Low Income,Water Heat GT 55 Gal,Existing,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88
SCLMultifamily - High Rise,SCLMultifamily - High RiseWater Heat LE 55 Gal,SCL,Multifamily - High Rise,Water Heat LE 55 Gal,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - High Rise Low Income,SCLMultifamily - High Rise Low IncomeWater Heat LE 55 Gal,SCL,Multifamily - High Rise Low Income,Water Heat LE 55 Gal,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - Low Rise,SCLMultifamily - Low RiseWater Heat LE 55 Gal,SCL,Multifamily - Low Rise,Water Heat LE 55 Gal,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - Low Rise Low Income,SCLMultifamily - Low Rise Low IncomeWater Heat LE 55 Gal,SCL,Multifamily - Low Rise Low Income,Water Heat LE 55 Gal,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - Mid Rise,SCLMultifamily - Mid RiseWater Heat LE 55 Gal,SCL,Multifamily - Mid Rise,Water Heat LE 55 Gal,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - Mid Rise Low Income,SCLMultifamily - Mid Rise Low IncomeWater Heat LE 55 Gal,SCL,Multifamily - Mid Rise Low Income,Water Heat LE 55 Gal,Existing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLSingle Family,SCLSingle FamilyWater Heat LE 55 Gal,SCL,Single Family,Water Heat LE 55 Gal,Existing,0.637681159,0.637681159,0.637681159,0.637681159,0.637681159,0.637681159,0.637681159,0.637681159,0.637681159,0.637681159,0.637681159,0.637681159,0.637681159,0.637681159,0.637681159,0.637681159,0.637681159,0.637681159,0.637681159,0.637681159,0.637681159
SCLSingle Family Low Income,SCLSingle Family Low IncomeWater Heat LE 55 Gal,SCL,Single Family Low Income,Water Heat LE 55 Gal,Existing,0.637681159,0.637681159,0.637681159,0.637681159,0.637681159,0.637681159,0.637681159,0.637681159,0.637681159,0.637681159,0.637681159,0.637681159,0.637681159,0.637681159,0.637681159,0.637681159,0.637681159,0.637681159,0.637681159,0.637681159,0.637681159
SCLMultifamily - High Rise,SCLMultifamily - High RiseAir Purifier,SCL,Multifamily - High Rise,Air Purifier,New,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - High Rise Low Income,SCLMultifamily - High Rise Low IncomeAir Purifier,SCL,Multifamily - High Rise Low Income,Air Purifier,New,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - Low Rise,SCLMultifamily - Low RiseAir Purifier,SCL,Multifamily - Low Rise,Air Purifier,New,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - Low Rise Low Income,SCLMultifamily - Low Rise Low IncomeAir Purifier,SCL,Multifamily - Low Rise Low Income,Air Purifier,New,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - Mid Rise,SCLMultifamily - Mid RiseAir Purifier,SCL,Multifamily - Mid Rise,Air Purifier,New,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - Mid Rise Low Income,SCLMultifamily - Mid Rise Low IncomeAir Purifier,SCL,Multifamily - Mid Rise Low Income,Air Purifier,New,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLSingle Family,SCLSingle FamilyAir Purifier,SCL,Single Family,Air Purifier,New,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLSingle Family Low Income,SCLSingle Family Low IncomeAir Purifier,SCL,Single Family Low Income,Air Purifier,New,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - High Rise,SCLMultifamily - High RiseCirculation - DHW,SCL,Multifamily - High Rise,Circulation - DHW,New,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - High Rise Low Income,SCLMultifamily - High Rise Low IncomeCirculation - DHW,SCL,Multifamily - High Rise Low Income,Circulation - DHW,New,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - Low Rise,SCLMultifamily - Low RiseCirculation - DHW,SCL,Multifamily - Low Rise,Circulation - DHW,New,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - Low Rise Low Income,SCLMultifamily - Low Rise Low IncomeCirculation - DHW,SCL,Multifamily - Low Rise Low Income,Circulation - DHW,New,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - Mid Rise,SCLMultifamily - Mid RiseCirculation - DHW,SCL,Multifamily - Mid Rise,Circulation - DHW,New,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - Mid Rise Low Income,SCLMultifamily - Mid Rise Low IncomeCirculation - DHW,SCL,Multifamily - Mid Rise Low Income,Circulation - DHW,New,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLSingle Family,SCLSingle FamilyCirculation - DHW,SCL,Single Family,Circulation - DHW,New,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLSingle Family Low Income,SCLSingle Family Low IncomeCirculation - DHW,SCL,Single Family Low Income,Circulation - DHW,New,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - High Rise,SCLMultifamily - High RiseCirculation - Hydronic Heating,SCL,Multifamily - High Rise,Circulation - Hydronic Heating,New,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - High Rise Low Income,SCLMultifamily - High Rise Low IncomeCirculation - Hydronic Heating,SCL,Multifamily - High Rise Low Income,Circulation - Hydronic Heating,New,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - Low Rise,SCLMultifamily - Low RiseCirculation - Hydronic Heating,SCL,Multifamily - Low Rise,Circulation - Hydronic Heating,New,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - Low Rise Low Income,SCLMultifamily - Low Rise Low IncomeCirculation - Hydronic Heating,SCL,Multifamily - Low Rise Low Income,Circulation - Hydronic Heating,New,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - Mid Rise,SCLMultifamily - Mid RiseCirculation - Hydronic Heating,SCL,Multifamily - Mid Rise,Circulation - Hydronic Heating,New,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - Mid Rise Low Income,SCLMultifamily - Mid Rise Low IncomeCirculation - Hydronic Heating,SCL,Multifamily - Mid Rise Low Income,Circulation - Hydronic Heating,New,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLSingle Family,SCLSingle FamilyCirculation - Hydronic Heating,SCL,Single Family,Circulation - Hydronic Heating,New,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLSingle Family Low Income,SCLSingle Family Low IncomeCirculation - Hydronic Heating,SCL,Single Family Low Income,Circulation - Hydronic Heating,New,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - High Rise,SCLMultifamily - High RiseComputer - Desktop,SCL,Multifamily - High Rise,Computer - Desktop,New,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - High Rise Low Income,SCLMultifamily - High Rise Low IncomeComputer - Desktop,SCL,Multifamily - High Rise Low Income,Computer - Desktop,New,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - Low Rise,SCLMultifamily - Low RiseComputer - Desktop,SCL,Multifamily - Low Rise,Computer - Desktop,New,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - Low Rise Low Income,SCLMultifamily - Low Rise Low IncomeComputer - Desktop,SCL,Multifamily - Low Rise Low Income,Computer - Desktop,New,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - Mid Rise,SCLMultifamily - Mid RiseComputer - Desktop,SCL,Multifamily - Mid Rise,Computer - Desktop,New,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - Mid Rise Low Income,SCLMultifamily - Mid Rise Low IncomeComputer - Desktop,SCL,Multifamily - Mid Rise Low Income,Computer - Desktop,New,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLSingle Family,SCLSingle FamilyComputer - Desktop,SCL,Single Family,Computer - Desktop,New,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLSingle Family Low Income,SCLSingle Family Low IncomeComputer - Desktop,SCL,Single Family Low Income,Computer - Desktop,New,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - High Rise,SCLMultifamily - High RiseComputer - Laptop,SCL,Multifamily - High Rise,Computer - Laptop,New,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - High Rise Low Income,SCLMultifamily - High Rise Low IncomeComputer - Laptop,SCL,Multifamily - High Rise Low Income,Computer - Laptop,New,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - Low Rise,SCLMultifamily - Low RiseComputer - Laptop,SCL,Multifamily - Low Rise,Computer - Laptop,New,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - Low Rise Low Income,SCLMultifamily - Low Rise Low IncomeComputer - Laptop,SCL,Multifamily - Low Rise Low Income,Computer - Laptop,New,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - Mid Rise,SCLMultifamily - Mid RiseComputer - Laptop,SCL,Multifamily - Mid Rise,Computer - Laptop,New,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - Mid Rise Low Income,SCLMultifamily - Mid Rise Low IncomeComputer - Laptop,SCL,Multifamily - Mid Rise Low Income,Computer - Laptop,New,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLSingle Family,SCLSingle FamilyComputer - Laptop,SCL,Single Family,Computer - Laptop,New,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLSingle Family Low Income,SCLSingle Family Low IncomeComputer - Laptop,SCL,Single Family Low Income,Computer - Laptop,New,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCLMultifamily - High Rise,SCLMultifamily - High RiseCooking Oven,SCL,Multifamily - High Rise,Cooking Oven,New,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558
SCLMultifamily - High Rise Low Income,SCLMultifamily - High Rise Low IncomeCooking Oven,SCL,Multifamily - High Rise Low Income,Cooking Oven,New,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558
SCLMultifamily - Low Rise,SCLMultifamily - Low RiseCooking Oven,SCL,Multifamily - Low Rise,Cooking Oven,New,0.894736842,0.894736842,0.894736842,0.894736842,0.894736842,0.894736842,0.894736842,0.894736842,0.894736842,0.894736842,0.894736842,0.894736842,0.894736842,0.894736842,0.894736842,0.894736842,0.894736842,0.894736842,0.894736842,0.894736842,0.894736842
SCLMultifamily - Low Rise Low Income,SCLMultifamily - Low Rise Low IncomeCooking Oven,SCL,Multifamily - Low Rise Low Income,Cooking Oven,New,0.894736842,0.894736842,0.894736842,0.894736842,0.894736842,0.894736842,0.894736842,0.894736842,0.894736842,0.894736842,0.894736842,0.894736842,0.894736842,0.894736842,0.894736842,0.894736842,0.894736842,0.894736842,0.894736842,0.894736842,0.894736842
SCLMultifamily - Mid Rise,SCLMultifamily - Mid RiseCooking Oven,SCL,Multifamily - Mid Rise,Cooking Oven,New,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558
SCLMultifamily - Mid Rise Low Income,SCLMultifamily - Mid Rise Low IncomeCooking Oven,SCL,Multifamily - Mid Rise Low Income,Cooking Oven,New,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558
SCLSingle Family,SCLSingle FamilyCooking Oven,SCL,Single Family,Cooking Oven,New,0.808743169,0.808743169,0.808743169,0.808743169,0.808743169,0.808743169,0.808743169,0.808743169,0.808743169,0.808743169,0.808743169,0.808743169,0.808743169,0.808743169,0.808743169,0.808743169,0.808743169,0.808743169,0.808743169,0.808743169,0.808743169
SCLSingle Family Low Income,SCLSingle Family Low IncomeCooking Oven,SCL,Single Family Low Income,Cooking Oven,New,0.808743169,0.808743169,0.808743169,0.808743169,0.808743169,0.808743169,0.808743169,0.808743169,0.808743169,0.808743169,0.808743169,0.808743169,0.808743169,0.808743169,0.808743169,0.808743169,0.808743169,0.808743169,0.808743169,0.808743169,0.808743169
SCLMultifamily - High Rise,SCLMultifamily - High RiseCooking Range,SCL,Multifamily - High Rise,Cooking Range,New,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558
SCLMultifamily - High Rise Low Income,SCLMultifamily - High Rise Low IncomeCooking Range,SCL,Multifamily - High Rise Low Income,Cooking Range,New,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558
SCLMultifamily - Low Rise,SCLMultifamily - Low RiseCooking Range,SCL,Multifamily - Low Rise,Cooking Range,New,0.894736842,0.894736842,0.894736842,0.894736842,0.894736842,0.894736842,0.894736842,0.894736842,0.894736842,0.894736842,0.894736842,0.894736842,0.894736842,0.894736842,0.894736842,0.894736842,0.894736842,0.894736842,0.894736842,0.894736842,0.894736842
SCLMultifamily - Low Rise Low Income,SCLMultifamily - Low Rise Low IncomeCooking Range,SCL,Multifamily - Low Rise Low Income,Cooking Range,New,0.894736842,0.894736842,0.894736842,0.894736842,0.894736842,0.894736842,0.894736842,0.894736842,0.894736842,0.894736842,0.894736842,0.894736842,0.894736842,0.894736842,0.894736842,0.894736842,0.894736842,0.894736842,0.894736842,0.894736842,0.894736842
SCLMultifamily - Mid Rise,SCLMultifamily - Mid RiseCooking Range,SCL,Multifamily - Mid Rise,Cooking Range,New,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558,0.930232558
