Segment,End Use,Construction Vintage,Start Saturation,End Saturation,Start Year,End Year,Interpolate Saturation,Customer Class
Multifamily - High Rise,Heat Central,Existing,0.0,0.0,2021,2041,linear,Residential
Multifamily - High Rise,Heat Central,New,0.0,0.0,2021,2041,linear,Residential
Multifamily - High Rise,Heat Pump,Existing,0.019230768999999998,0.019230768999999998,2021,2041,linear,Residential
Multifamily - High Rise,Heat Pump,New,0.05,0.25,2021,2041,linear,Residential
Multifamily - High Rise,Heat Room,Existing,0.846153846,0.846153846,2021,2041,linear,Residential
Multifamily - High Rise,Heat Room,New,0.9,0.75,2021,2041,linear,Residential
Multifamily - High Rise,Home Audio System,Existing,0.538461538,0.538461538,2021,2041,linear,Residential
Multifamily - High Rise,Home Audio System,New,0.538461538,0.538461538,2021,2041,linear,Residential
Multifamily - High Rise,Lighting Exterior Standard,Existing,0.076923077,0.076923077,2021,2041,linear,Residential
Multifamily - High Rise,Lighting Exterior Standard,New,0.076923077,0.076923077,2021,2041,linear,Residential
Multifamily - High Rise,Lighting Interior Linear Fluorescent,Existing,1.615384615,1.615384615,2021,2041,linear,Residential
Multifamily - High Rise,Lighting Interior Linear Fluorescent,New,1.615384615,1.615384615,2021,2041,linear,Residential
Multifamily - High Rise,Lighting Interior Specialty,Existing,6.461538462,6.461538462,2021,2041,linear,Residential
Multifamily - High Rise,Lighting Interior Specialty,New,6.461538462,6.461538462,2021,2041,linear,Residential
Multifamily - High Rise,Lighting Interior Standard,Existing,9.153846154,9.153846154,2021,2041,linear,Residential
Multifamily - High Rise,Lighting Interior Standard,New,9.153846154,9.153846154,2021,2041,linear,Residential
Multifamily - High Rise,Microwave,Existing,0.688902,0.688902,2021,2041,linear,Residential
Multifamily - High Rise,Microwave,New,0.688902,0.688902,2021,2041,linear,Residential
Multifamily - High Rise,Monitor,Existing,0.326923077,0.326923077,2021,2041,linear,Residential
Multifamily - High Rise,Monitor,New,0.326923077,0.326923077,2021,2041,linear,Residential
Multifamily - High Rise,Multifunction Device,Existing,0.887941,0.887941,2021,2041,linear,Residential
Multifamily - High Rise,Multifunction Device,New,0.887941,0.887941,2021,2041,linear,Residential
Multifamily - High Rise,Other,Existing,1.0,1.0,2021,2041,linear,Residential
Multifamily - High Rise,Other,New,1.0,1.0,2021,2041,linear,Residential
Multifamily - High Rise,Plug Load Other,Existing,1.0,1.0,2021,2041,linear,Residential
Multifamily - High Rise,Plug Load Other,New,1.0,1.0,2021,2041,linear,Residential
Multifamily - High Rise,Printer,Existing,0.346153846,0.346153846,2021,2041,linear,Residential
Multifamily - High Rise,Printer,New,0.346153846,0.346153846,2021,2041,linear,Residential
Multifamily - High Rise,Refrigerator,Existing,1.038461538,1.038461538,2021,2041,linear,Residential
Multifamily - High Rise,Refrigerator,New,1.038461538,1.038461538,2021,2041,linear,Residential
Multifamily - High Rise,Set Top Box,Existing,0.346153846,0.346153846,2021,2041,linear,Residential
Multifamily - High Rise,Set Top Box,New,0.346153846,0.346153846,2021,2041,linear,Residential
Multifamily - High Rise,Television,Existing,0.673076923,0.673076923,2021,2041,linear,Residential
Multifamily - High Rise,Television,New,0.673076923,0.673076923,2021,2041,linear,Residential
Multifamily - High Rise,Ventilation - Air,Existing,0.0,0.0,2021,2041,linear,Residential
Multifamily - High Rise,Ventilation - Air,New,0.0,0.0,2021,2041,linear,Residential
Multifamily - High Rise,Waste Water,Existing,1.0,1.0,2021,2041,linear,Residential
Multifamily - High Rise,Waste Water,New,1.0,1.0,2021,2041,linear,Residential
Multifamily - High Rise,Water Heat GT 55 Gal,Existing,0.038461537999999997,0.038461537999999997,2021,2041,linear,Residential
Multifamily - High Rise,Water Heat GT 55 Gal,New,0.038461537999999997,0.1125,2021,2041,linear,Residential
Multifamily - High Rise,Water Heat LE 55 Gal,Existing,0.269230769,0.269230769,2021,2041,linear,Residential
