RegionSegment,RegionSegmentEndUse,RegionSegmentEndUseEfficiency,RegionSegmentEndUseEfficiencyVintage,RegionSegmentEndUseEfficiencyDescriptionVintage,RegionSegmentEndUseVintage,Region,Segment,End Use,Efficiency Level,Efficiency Description,Construction Vintage,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041
SCLMultifamily - High Rise,SCLMultifamily - High RiseCooking Oven,SCLMultifamily - High RiseCooking Oven2,SCLMultifamily - High RiseCooking Oven2Existing,SCLMultifamily - High RiseCooking OvenEfficient OvenExisting,SCLMultifamily - High RiseCooking OvenExisting,SCL,Multifamily - High Rise,Cooking Oven,2,Efficient Oven,Existing,1041.605119,1041.605119,1041.605119,1041.605119,1041.605119,1041.605119,1041.605119,1041.605119,1041.605119,1041.605119,1041.605119,1041.605119,1041.605119,1041.605119,1041.605119,1041.605119,1041.605119,1041.605119,1041.605119,1041.605119,1041.605119
SCLMultifamily - High Rise,SCLMultifamily - High RiseCooking Oven,SCLMultifamily - High RiseCooking Oven1,SCLMultifamily - High RiseCooking Oven1Existing,SCLMultifamily - High RiseCooking OvenFederal Standard 2012 Cooking OvenExisting,SCLMultifamily - High RiseCooking OvenExisting,SCL,Multifamily - High Rise,Cooking Oven,1,Federal Standard 2012 Cooking Oven,Existing,37497.78429,37497.78429,37497.78429,37497.78429,37497.78429,37497.78429,37497.78429,37497.78429,37497.78429,37497.78429,37497.78429,37497.78429,37497.78429,37497.78429,37497.78429,37497.78429,37497.78429,37497.78429,37497.78429,37497.78429,37497.78429
SCLMultifamily - High Rise,SCLMultifamily - High RiseCooking Oven,SCLMultifamily - High RiseCooking Oven2,SCLMultifamily - High RiseCooking Oven2New,SCLMultifamily - High RiseCooking OvenEfficient OvenNew,SCLMultifamily - High RiseCooking OvenNew,SCL,Multifamily - High Rise,Cooking Oven,2,Efficient Oven,New,0,16.82332053,35.33430909,52.88867249,66.59618908,80.67635321,97.23820704,115.3329928,134.4207937,152.4906217,169.2980296,186.1826274,203.147138,220.192973,237.3207048,254.5303658,271.8216374,289.1939712,306.6466648,324.1789103,341.8702892
SCLMultifamily - High Rise,SCLMultifamily - High RiseCooking Oven,SCLMultifamily - High RiseCooking Oven1,SCLMultifamily - High RiseCooking Oven1New,SCLMultifamily - High RiseCooking OvenFederal Standard 2012 Cooking OvenNew,SCLMultifamily - High RiseCooking OvenNew,SCL,Multifamily - High Rise,Cooking Oven,1,Federal Standard 2012 Cooking Oven,New,0,605.6395392,1272.035127,1903.99221,2397.462807,2904.348715,3500.575453,4151.987742,4839.148574,5489.662383,6094.729065,6702.574588,7313.296967,7926.947027,8543.545374,9163.093169,9785.578947,10410.98296,11039.27993,11670.44077,12307.33041
SCLMultifamily - High Rise,SCLMultifamily - High RiseCooking Range,SCLMultifamily - High RiseCooking Range1,SCLMultifamily - High RiseCooking Range1Existing,SCLMultifamily - High RiseCooking RangeFederal Standard 2012 Cooking RangeExisting,SCLMultifamily - High RiseCooking RangeExisting,SCL,Multifamily - High Rise,Cooking Range,1,Federal Standard 2012 Cooking Range,Existing,38539.38941,38539.38941,38539.38941,38539.38941,38539.38941,38539.38941,38539.38941,38539.38941,38539.38941,38539.38941,38539.38941,38539.38941,38539.38941,38539.38941,38539.38941,38539.38941,38539.38941,38539.38941,38539.38941,38539.38941,38539.38941
SCLMultifamily - High Rise,SCLMultifamily - High RiseCooking Range,SCLMultifamily - High RiseCooking Range1,SCLMultifamily - High RiseCooking Range1New,SCLMultifamily - High RiseCooking RangeFederal Standard 2012 Cooking RangeNew,SCLMultifamily - High RiseCooking RangeNew,SCL,Multifamily - High Rise,Cooking Range,1,Federal Standard 2012 Cooking Range,New,0,622.4628597,1307.369436,1956.880882,2464.058996,2985.025069,3597.813661,4267.320735,4973.569368,5642.153004,6264.027094,6888.757216,7516.444105,8147.139999,8780.866079,9417.623534,10057.40058,10700.17693,11345.9266,11994.61968,12649.2007
SCLMultifamily - High Rise,SCLMultifamily - High RiseCool Central,SCLMultifamily - High RiseCool Central7,SCLMultifamily - High RiseCool Central7Existing,SCLMultifamily - High RiseCool CentralEnhanced Central Air Conditioner - SEER/EER 20/14 (Split System)Existing,SCLMultifamily - High RiseCool CentralExisting,SCL,Multifamily - High Rise,Cool Central,7,Enhanced Central Air Conditioner - SEER/EER 20/14 (Split System),Existing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SCLMultifamily - High Rise,SCLMultifamily - High RiseCool Central,SCLMultifamily - High RiseCool Central6,SCLMultifamily - High RiseCool Central6Existing,SCLMultifamily - High RiseCool CentralCEE Tier 3 Central Air Conditioner - SEER/EER 18/13 (Split System)Existing,SCLMultifamily - High RiseCool CentralExisting,SCL,Multifamily - High Rise,Cool Central,6,CEE Tier 3 Central Air Conditioner - SEER/EER 18/13 (Split System),Existing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SCLMultifamily - High Rise,SCLMultifamily - High RiseCool Central,SCLMultifamily - High RiseCool Central5,SCLMultifamily - High RiseCool Central5Existing,SCLMultifamily - High RiseCool CentralCEE Tier 2 Central Air Conditioner - SEER/EER 16/13 (Split System)Existing,SCLMultifamily - High RiseCool CentralExisting,SCL,Multifamily - High Rise,Cool Central,5,CEE Tier 2 Central Air Conditioner - SEER/EER 16/13 (Split System),Existing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SCLMultifamily - High Rise,SCLMultifamily - High RiseCool Central,SCLMultifamily - High RiseCool Central4,SCLMultifamily - High RiseCool Central4Existing,SCLMultifamily - High RiseCool CentralENERGY STAR Central Air Conditioner - SEER/EER 15/12.5 (Split System)Existing,SCLMultifamily - High RiseCool CentralExisting,SCL,Multifamily - High Rise,Cool Central,4,ENERGY STAR Central Air Conditioner - SEER/EER 15/12.5 (Split System),Existing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SCLMultifamily - High Rise,SCLMultifamily - High RiseCool Central,SCLMultifamily - High RiseCool Central3,SCLMultifamily - High RiseCool Central3Existing,SCLMultifamily - High RiseCool CentralFederal Standard 2023 Central Air Conditioner - SEER/EER 14/12 (Split System)Existing,SCLMultifamily - High RiseCool CentralExisting,SCL,Multifamily - High Rise,Cool Central,3,Federal Standard 2023 Central Air Conditioner - SEER/EER 14/12 (Split System),Existing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SCLMultifamily - High Rise,SCLMultifamily - High RiseCool Central,SCLMultifamily - High RiseCool Central2,SCLMultifamily - High RiseCool Central2Existing,SCLMultifamily - High RiseCool CentralFederal Standard 2015 Central Air Conditioner - SEER/EER 13/11.2 (Split System)Existing,SCLMultifamily - High RiseCool CentralExisting,SCL,Multifamily - High Rise,Cool Central,2,Federal Standard 2015 Central Air Conditioner - SEER/EER 13/11.2 (Split System),Existing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SCLMultifamily - High Rise,SCLMultifamily - High RiseCool Central,SCLMultifamily - High RiseCool Central1,SCLMultifamily - High RiseCool Central1Existing,SCLMultifamily - High RiseCool CentralBelow Standard Central Air Conditioner - SEER/EER 10/9.2 (Split System)Existing,SCLMultifamily - High RiseCool CentralExisting,SCL,Multifamily - High Rise,Cool Central,1,Below Standard Central Air Conditioner - SEER/EER 10/9.2 (Split System),Existing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SCLMultifamily - High Rise,SCLMultifamily - High RiseCool Central,SCLMultifamily - High RiseCool Central7,SCLMultifamily - High RiseCool Central7New,SCLMultifamily - High RiseCool CentralEnhanced Central Air Conditioner - SEER/EER 20/14 (Split System)New,SCLMultifamily - High RiseCool CentralNew,SCL,Multifamily - High Rise,Cool Central,7,Enhanced Central Air Conditioner - SEER/EER 20/14 (Split System),New,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SCLMultifamily - High Rise,SCLMultifamily - High RiseCool Central,SCLMultifamily - High RiseCool Central6,SCLMultifamily - High RiseCool Central6New,SCLMultifamily - High RiseCool CentralCEE Tier 3 Central Air Conditioner - SEER/EER 18/13 (Split System)New,SCLMultifamily - High RiseCool CentralNew,SCL,Multifamily - High Rise,Cool Central,6,CEE Tier 3 Central Air Conditioner - SEER/EER 18/13 (Split System),New,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SCLMultifamily - High Rise,SCLMultifamily - High RiseCool Central,SCLMultifamily - High RiseCool Central5,SCLMultifamily - High RiseCool Central5New,SCLMultifamily - High RiseCool CentralCEE Tier 2 Central Air Conditioner - SEER/EER 16/13 (Split System)New,SCLMultifamily - High RiseCool CentralNew,SCL,Multifamily - High Rise,Cool Central,5,CEE Tier 2 Central Air Conditioner - SEER/EER 16/13 (Split System),New,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SCLMultifamily - High Rise,SCLMultifamily - High RiseCool Central,SCLMultifamily - High RiseCool Central4,SCLMultifamily - High RiseCool Central4New,SCLMultifamily - High RiseCool CentralENERGY STAR Central Air Conditioner - SEER/EER 15/12.5 (Split System)New,SCLMultifamily - High RiseCool CentralNew,SCL,Multifamily - High Rise,Cool Central,4,ENERGY STAR Central Air Conditioner - SEER/EER 15/12.5 (Split System),New,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SCLMultifamily - High Rise,SCLMultifamily - High RiseCool Central,SCLMultifamily - High RiseCool Central3,SCLMultifamily - High RiseCool Central3New,SCLMultifamily - High RiseCool CentralFederal Standard 2023 Central Air Conditioner - SEER/EER 14/12 (Split System)New,SCLMultifamily - High RiseCool CentralNew,SCL,Multifamily - High Rise,Cool Central,3,Federal Standard 2023 Central Air Conditioner - SEER/EER 14/12 (Split System),New,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SCLMultifamily - High Rise,SCLMultifamily - High RiseCool Central,SCLMultifamily - High RiseCool Central2,SCLMultifamily - High RiseCool Central2New,SCLMultifamily - High RiseCool CentralFederal Standard 2015 Central Air Conditioner - SEER/EER 13/11.2 (Split System)New,SCLMultifamily - High RiseCool CentralNew,SCL,Multifamily - High Rise,Cool Central,2,Federal Standard 2015 Central Air Conditioner - SEER/EER 13/11.2 (Split System),New,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SCLMultifamily - High Rise,SCLMultifamily - High RiseCool Central,SCLMultifamily - High RiseCool Central1,SCLMultifamily - High RiseCool Central1New,SCLMultifamily - High RiseCool CentralBelow Standard Central Air Conditioner - SEER/EER 10/9.2 (Split System)New,SCLMultifamily - High RiseCool CentralNew,SCL,Multifamily - High Rise,Cool Central,1,Below Standard Central Air Conditioner - SEER/EER 10/9.2 (Split System),New,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SCLMultifamily - High Rise,SCLMultifamily - High RiseCool Room,SCLMultifamily - High RiseCool Room4,SCLMultifamily - High RiseCool Room4Existing,"SCLMultifamily - High RiseCool RoomENERGY STAR Room AC - CEER 12.0 (8,000-13,999 Btuh)Existing",SCLMultifamily - High RiseCool RoomExisting,SCL,Multifamily - High Rise,Cool Room,4,"ENERGY STAR Room AC - CEER 12.0 (8,000-13,999 Btuh)",Existing,4228.83268,4497.329993,4741.686414,4969.580463,5187.083635,5398.999548,5609.133677,5820.507757,6035.530091,6256.130723,6483.868659,6720.016828,6965.629358,7221.594788,7488.678137,7767.55411,8058.83331,8363.082899,8680.842891,9012.638987,9358.992709
SCLMultifamily - High Rise,SCLMultifamily - High RiseCool Room,SCLMultifamily - High RiseCool Room3,SCLMultifamily - High RiseCool Room3Existing,"SCLMultifamily - High RiseCool RoomRoom AC - Market Average (8,000-13,999 Btuh)Existing",SCLMultifamily - High RiseCool RoomExisting,SCL,Multifamily - High Rise,Cool Room,3,"Room AC - Market Average (8,000-13,999 Btuh)",Existing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SCLMultifamily - High Rise,SCLMultifamily - High RiseCool Room,SCLMultifamily - High RiseCool Room2,SCLMultifamily - High RiseCool Room2Existing,"SCLMultifamily - High RiseCool RoomFederal Standard 2015 Room AC - CEER 10.9 (8,000-13,999 Btuh)Existing",SCLMultifamily - High RiseCool RoomExisting,SCL,Multifamily - High Rise,Cool Room,2,"Federal Standard 2015 Room AC - CEER 10.9 (8,000-13,999 Btuh)",Existing,1705.360318,2185.83882,2618.095627,3012.022041,3375.726314,3715.877475,4037.982167,4346.607713,4645.561993,4938.038639,5226.734354,5513.943806,5801.636502,6091.519147,6385.086308,6683.661675,6988.431716,7300.473215,7620.775858,7950.260824,8289.796145
SCLMultifamily - High Rise,SCLMultifamily - High RiseCool Room,SCLMultifamily - High RiseCool Room1,SCLMultifamily - High RiseCool Room1Existing,"SCLMultifamily - High RiseCool RoomBelow Standard Room AC - CEER 9.7 (8,000-13,999 Btuh)Existing",SCLMultifamily - High RiseCool RoomExisting,SCL,Multifamily - High Rise,Cool Room,1,"Below Standard Room AC - CEER 9.7 (8,000-13,999 Btuh)",Existing,2131.700397,1705.360318,1364.288254,1091.430603,873.1444827,698.5155861,558.8124689,447.0499751,357.6399801,286.1119841,228.8895873,183.1116698,146.4893358,117.1914687,93.75317494,75.00253995,60.00203196,48.00162557,38.40130046,30.72104036,24.57683229
SCLMultifamily - High Rise,SCLMultifamily - High RiseCool Room,SCLMultifamily - High RiseCool Room4,SCLMultifamily - High RiseCool Room4New,"SCLMultifamily - High RiseCool RoomENERGY STAR Room AC - CEER 12.0 (8,000-13,999 Btuh)New",SCLMultifamily - High RiseCool RoomNew,SCL,Multifamily - High Rise,Cool Room,4,"ENERGY STAR Room AC - CEER 12.0 (8,000-13,999 Btuh)",New,0,375.7932777,789.2850761,1181.408126,1487.601697,1802.119334,2172.072063,2576.266874,3002.643299,3406.280612,3781.718437,4158.880506,4537.827635,4918.59136,5301.184469,5685.60768,6071.853881,6459.910819,6849.762805,7241.391794,7636.575446
